Dátum,Energiafogyasztás
2015-01-01,105.85
2015-01-02,112.64
2015-01-03,112.21
2015-01-04,112.66
2015-01-05,127.54
2015-01-06,131.14
2015-01-07,135.13
2015-01-08,136.67
2015-01-09,133.35
2015-01-10,125.55
2015-01-11,116.88
2015-01-12,128.98
2015-01-13,130.88
2015-01-14,130.84
2015-01-15,130.26
2015-01-16,130.15
2015-01-17,119.42
2015-01-18,114.55
2015-01-19,129.69
2015-01-20,131.93
2015-01-21,131.8
2015-01-22,130.92
2015-01-23,132.56
2015-01-24,121.97
2015-01-25,116.65
2015-01-26,130.36
2015-01-27,134.73
2015-01-28,133.64
2015-01-29,135.29
2015-01-30,134.59
2015-01-31,122.42
2015-02-01,117.82
2015-02-02,130.99
2015-02-03,133.27
2015-02-04,135.11
2015-02-05,133.81
2015-02-06,134.26
2015-02-07,122.72
2015-02-08,118.16
2015-02-09,133.32
2015-02-10,133.85
2015-02-11,131.97
2015-02-12,131.79
2015-02-13,131.21
2015-02-14,121.01
2015-02-15,115.08
2015-02-16,128.82
2015-02-17,132.89
2015-02-18,132.75
2015-02-19,132.53
2015-02-20,130.26
2015-02-21,119.67
2015-02-22,113.68
2015-02-23,128.9
2015-02-24,129.55
2015-02-25,130.76
2015-02-26,131.68
2015-02-27,129.09
2015-02-28,117.66
2015-03-01,112.15
2015-03-02,126.82
2015-03-03,127.39
2015-03-04,128.9
2015-03-05,129.22
2015-03-06,128.37
2015-03-07,118.05
2015-03-08,111.67
2015-03-09,125.08
2015-03-10,126.27
2015-03-11,128.46
2015-03-12,125.36
2015-03-13,129.58
2015-03-14,117.94
2015-03-15,106.24
2015-03-16,121.83
2015-03-17,125.52
2015-03-18,125.9
2015-03-19,126.25
2015-03-20,125.46
2015-03-21,115.89
2015-03-22,109.03
2015-03-23,121.94
2015-03-24,124.68
2015-03-25,124.76
2015-03-26,123.34
2015-03-27,123.4
2015-03-28,114.88
2015-03-29,103.05
2015-03-30,122.56
2015-03-31,124.95
2015-04-01,123.76
2015-04-02,126.43
2015-04-03,124.96
2015-04-04,112.32
2015-04-05,99.3
2015-04-06,97.03
2015-04-07,119.02
2015-04-08,124.25
2015-04-09,122.84
2015-04-10,120.33
2015-04-11,108.86
2015-04-12,101.83
2015-04-13,115.9
2015-04-14,117.5
2015-04-15,117.62
2015-04-16,117.64
2015-04-17,117.21
2015-04-18,107.28
2015-04-19,101.02
2015-04-20,115.83
2015-04-21,118.05
2015-04-22,117.63
2015-04-23,117.58
2015-04-24,116.61
2015-04-25,107.68
2015-04-26,100.96
2015-04-27,114.9
2015-04-28,119.3
2015-04-29,119.36
2015-04-30,116.26
2015-05-01,97.8
2015-05-02,100.42
2015-05-03,99.13
2015-05-04,115.37
2015-05-05,119.29
2015-05-06,119.96
2015-05-07,118.49
2015-05-08,117.42
2015-05-09,107.87
2015-05-10,99.31
2015-05-11,112.92
2015-05-12,117.47
2015-05-13,119.47
2015-05-14,119.23
2015-05-15,117
2015-05-16,106.83
2015-05-17,98.93
2015-05-18,113.56
2015-05-19,118.08
2015-05-20,118.43
2015-05-21,119.15
2015-05-22,118.31
2015-05-23,106.8
2015-05-24,93.97
2015-05-25,93.28
2015-05-26,113.52
2015-05-27,117.79
2015-05-28,117.31
2015-05-29,116.33
2015-05-30,107.19
2015-05-31,98.18
2015-06-01,114.88
2015-06-02,119.87
2015-06-03,122.71
2015-06-04,124.14
2015-06-05,120.02
2015-06-06,109.68
2015-06-07,103.11
2015-06-08,120.93
2015-06-09,122.5
2015-06-10,122.41
2015-06-11,125.41
2015-06-12,125.83
2015-06-13,114.78
2015-06-14,106.68
2015-06-15,120.77
2015-06-16,119.42
2015-06-17,118.39
2015-06-18,118.58
2015-06-19,118.14
2015-06-20,106.38
2015-06-21,98.55
2015-06-22,114.28
2015-06-23,118.67
2015-06-24,117.76
2015-06-25,117.84
2015-06-26,116.82
2015-06-27,107.78
2015-06-28,99.1
2015-06-29,115.88
2015-06-30,119.89
2015-07-01,121.51
2015-07-02,124.39
2015-07-03,123.52
2015-07-04,113.34
2015-07-05,106.59
2015-07-06,127.28
2015-07-07,133.76
2015-07-08,131.15
2015-07-09,121.31
2015-07-10,118.55
2015-07-11,107.78
2015-07-12,102
2015-07-13,117.51
2015-07-14,120.64
2015-07-15,124.11
2015-07-16,127.2
2015-07-17,130.31
2015-07-18,118.19
2015-07-19,110.71
2015-07-20,126.66
2015-07-21,129.42
2015-07-22,133.08
2015-07-23,132.69
2015-07-24,131.75
2015-07-25,117.68
2015-07-26,99.34
2015-07-27,111.12
2015-07-28,112.33
2015-07-29,113.15
2015-07-30,112.01
2015-07-31,110.12
2015-08-01,101.37
2015-08-02,95.42
2015-08-03,113.11
2015-08-04,119.15
2015-08-05,121.47
2015-08-06,123.45
2015-08-07,125.03
2015-08-08,118.26
2015-08-09,107.39
2015-08-10,121.5
2015-08-11,125.18
2015-08-12,127.17
2015-08-13,128.59
2015-08-14,128.08
2015-08-15,116.95
2015-08-16,103.96
2015-08-17,116.31
2015-08-18,113.68
2015-08-19,111.87
2015-08-20,93.52
2015-08-21,96.53
2015-08-22,96.86
2015-08-23,95.11
2015-08-24,113.21
2015-08-25,117.96
2015-08-26,120.18
2015-08-27,122.45
2015-08-28,125.28
2015-08-29,116.64
2015-08-30,110.43
2015-08-31,127.94
2015-09-01,130.5
2015-09-02,127.53
2015-09-03,125.31
2015-09-04,122.75
2015-09-05,110.85
2015-09-06,101.14
2015-09-07,114.74
2015-09-08,118.4
2015-09-09,118.97
2015-09-10,121.68
2015-09-11,122.22
2015-09-12,109.62
2015-09-13,102.3
2015-09-14,117.75
2015-09-15,123.06
2015-09-16,124.51
2015-09-17,128.27
2015-09-18,126.25
2015-09-19,114.17
2015-09-20,104.28
2015-09-21,117.06
2015-09-22,120.09
2015-09-23,121.88
2015-09-24,123.01
2015-09-25,124.82
2015-09-26,112.84
2015-09-27,104.35
2015-09-28,118.98
2015-09-29,122.62
2015-09-30,123.12
