Dátum,Lakossági,Vállalat
2015-01-01,589477,654415
2015-02-01,507993,591111
2015-03-01,403956,516193
2015-04-01,236285,370890
2015-05-01,92506,242062
2015-06-01,50978,236269
2015-07-01,45053,249625
2015-08-01,45637,232762
2015-09-01,65577,260347
2015-10-01,249792,404725
2015-11-01,378942,521876
2015-12-01,523598,577532
2016-01-01,683457,726491
2016-02-01,438005,527260
2016-03-01,414047,467104
2016-04-01,182762,321245
2016-05-01,114480,285877
2016-06-01,53041,253352
2016-07-01,46721,249586
2016-08-01,48339,246922
2016-09-01,60071,285818
2016-10-01,285546,477049
2016-11-01,457824,555615
2016-12-01,666802,698419
2017-01-01,885217,866178
2017-02-01,555236,548426
2017-03-01,345752,424898
2017-04-01,259758,393394
2017-05-01,102508,305112
2017-06-01,47627,303937
2017-07-01,44705,308580
2017-08-01,43519,331202
2017-09-01,86824,357800
2017-10-01,234754,410537
2017-11-01,425388,575256
2017-12-01,593199,603713
2018-01-01,571689,617956
2018-02-01,601394,619300
2018-03-01,567810,586142
2018-04-01,139435,339614
2018-05-01,54458,305599
2018-06-01,44983,260253
2018-07-01,44095,289711
2018-08-01,40383,259042
2018-09-01,68223,327268
2018-10-01,192623,384015
2018-11-01,381292,520475
2018-12-01,649246,654364
2019-01-01,728335,739613
2019-02-01,523533,528340
2019-03-01,377774,461340
2019-04-01,209526,396951
2019-05-01,175490,377499
2019-06-01,46572,274821
2019-07-01,43561,284279
2019-08-01,42789,333620
2019-09-01,68120,370462
2019-10-01,194415,483877
2019-11-01,360198,500181
2019-12-01,585636,594017
