Dátum,Benzin (HUF/l),Diesel (HUF/l)
2015-01-05,341.6719552,361.8438936
2015-01-12,335.6234196,354.2949609
2015-01-19,328.170048,346.719552
2015-01-26,330.9536443,346.8071344
2015-02-02,330.8302512,346.7464512
2015-02-09,339.677128,354.458258
2015-02-16,348.7878695,365.3088348
2015-02-23,352.6413274,372.6247224
2015-03-02,354.5237598,372.6687364
2015-03-09,363.2212647,374.2301894
2015-03-16,366.9851328,376.0833856
2015-03-23,368.8054025,368.595125
2015-03-30,365.7776085,365.8945422
2015-04-13,365.547027,362.4805665
2015-04-20,365.377329,366.262092
2015-04-27,377.1119079,376.1932174
2015-05-04,381.0014598,379.5055992
2015-05-11,380.6522,380.97182
2015-05-18,378.53254,380.863769
2015-05-25,379.1971872,381.6957924
2015-06-01,384.1402703,382.8821926
2015-06-08,386.9025615,382.70505
2015-06-15,386.759451,380.6595
2015-06-22,395.0866881,380.7947247
2015-06-29,389.2841788,378.9630834
2015-07-06,389.1655139,378.7901273
2015-07-13,395.290696,377.075065
2015-07-20,394.739464,368.3317526
2015-07-27,384.4216998,363.9913818
2015-08-03,377.4762189,360.1851165
2015-08-10,374.6974879,354.1847949
2015-08-17,366.6581273,352.1372589
2015-08-24,361.5026117,350.1637886
2015-08-31,345.82383,339.630534
2015-09-07,345.3984567,345.6182777
2015-09-14,350.1838746,353.4331067
2015-09-21,343.194298,347.3561084
2015-09-28,339.9956884,344.3612396
2015-10-05,340.482516,346.795372
2015-10-12,340.2393786,348.645033
2015-10-19,340.1019684,346.372641
2015-10-26,329.1244887,336.4445007
2015-11-02,329.1450389,337.0059831
2015-11-09,340.1171704,345.9185884
2015-11-16,344.911496,348.853912
2015-11-23,335.9083932,341.9785395
2015-11-30,336.7494324,342.1865034
2015-12-07,340.6181625,338.9341725
2015-12-14,330.6419968,329.1769024
2016-01-04,324.9021624,312.9488814
2016-01-11,327.5630896,313.3154216
2016-01-18,319.8958098,306.3769086
2016-01-25,314.907662,296.670998
2016-02-01,314.7852468,296.7628574
2016-02-08,316.8820517,300.4434438
2016-02-15,303.6674952,300.7575468
2016-02-22,301.4461632,297.5920064
2016-02-29,301.3743824,301.704318
2016-03-07,307.4068566,305.8091658
2016-03-14,314.2065531,315.009738
2016-03-21,319.1123073,316.2744287
2016-04-04,331.0242771,315.3535649
2016-04-11,326.9089285,307.8445722
2016-04-18,329.9459593,311.8009642
2016-04-25,333.859911,318.064549
2016-05-02,335.6481404,324.7283312
