Dátum,Alapkamat
1990-10-15,0.22
1992-10-15,0.21
1993-01-01,0.20
1993-05-03,0.19
1993-09-27,0.22
1994-06-15,0.25
1995-02-01,0.28
1996-02-01,0.27
1996-05-01,0.26
1996-07-16,0.26
1996-09-01,0.25
1996-10-01,0.23
1997-01-16,0.23
1997-03-01,0.22
1997-07-01,0.21
1997-09-15,0.21
1998-02-01,0.20
1998-04-08,0.20
1998-06-01,0.19
1998-08-01,0.18
1998-12-15,0.17
1999-02-01,0.16
1999-06-01,0.16
1999-11-15,0.15
1999-12-22,0.15
2000-01-20,0.13
2000-03-01,0.12
2000-04-03,0.11
2001-07-13,0.11
2001-09-10,0.11
2001-10-25,0.11
2001-11-13,0.10
2001-12-11,0.10
2002-01-08,0.10
2002-01-22,0.09
2002-02-19,0.09
2002-05-22,0.09
2002-07-09,0.10
2002-11-19,0.09
2002-12-17,0.09
2003-01-16,0.08
2003-01-17,0.07
2003-06-11,0.08
2003-06-19,0.10
2003-11-28,0.13
2004-03-23,0.12
2004-04-06,0.12
2004-05-04,0.12
2004-08-17,0.11
2004-10-19,0.11
2004-11-23,0.10
2004-12-21,0.10
2005-01-25,0.09
2005-02-22,0.08
2005-03-30,0.08
2005-04-26,0.08
2005-05-24,0.07
2005-06-21,0.07
2005-07-19,0.07
2005-08-23,0.06
2005-09-20,0.06
2006-06-20,0.06
2006-07-25,0.07
2006-08-29,0.07
2006-09-26,0.08
2006-10-25,0.08
2007-06-26,0.08
2007-09-25,0.08
2008-04-01,0.08
2008-04-29,0.08
2008-05-27,0.09
2008-10-22,0.12
2008-11-25,0.11
2008-12-09,0.11
2008-12-23,0.10
2009-01-20,0.10
2009-07-28,0.09
2009-08-25,0.08
2009-09-29,0.08
2009-10-20,0.07
2009-11-24,0.07
2009-12-22,0.06
2010-01-26,0.06
2010-02-23,0.06
2010-03-30,0.06
2010-04-27,0.05
2010-11-30,0.06
2010-12-21,0.06
2011-01-25,0.06
2011-11-30,0.07
2011-12-21,0.07
2012-08-29,0.07
2012-09-26,0.07
2012-10-31,0.06
2012-11-28,0.06
2012-12-19,0.06
2013-01-30,0.06
2013-02-27,0.05
2013-03-27,0.05
2013-04-24,0.05
2013-05-29,0.05
2013-06-26,0.04
2013-07-24,0.04
2013-08-28,0.04
2013-09-25,0.04
2013-10-30,0.03
2013-11-27,0.03
2013-12-18,0.03
2014-01-22,0.03
2014-02-19,0.03
2014-03-26,0.03
2014-04-30,0.03
2014-05-28,0.02
2014-06-25,0.02
2014-07-23,0.02
2015-03-25,0.02
2015-04-22,0.02
2015-05-27,0.02
2015-06-24,0.02
2015-07-22,0.01
2016-03-23,0.01
2016-04-27,0.01
2016-05-25,0.01
2020-06-24,0.01
2020-07-22,0.01
2021-06-23,0.01
2021-07-28,0.01
2021-08-25,0.02
2021-09-22,0.02
2021-10-20,0.02
2021-11-17,0.02
2021-12-15,0.02
2022-01-26,0.03
2022-02-23,0.03
2022-03-23,0.04
2022-04-27,0.05
2022-06-01,0.06
2022-06-29,0.08
2022-07-13,0.10
2022-07-27,0.11
2022-08-31,0.12
2022-09-28,0.13
2023-10-25,0.12
2023-11-22,0.12
2023-12-20,0.11
2024-01-31,0.10
2024-02-28,0.09
2024-03-27,0.08
2024-04-24,0.08
2024-05-22,0.07
2024-06-19,0.07
2024-07-24,0.07
2024-09-25,0.07
