Dátum,Utolsó ár
2015-01-01,16560.93
2015-01-02,16524.4
2015-01-05,16414.8
2015-01-06,16173.61
2015-01-07,16191.37
2015-01-08,16441.68
2015-01-09,16222.75
2015-01-12,16158.77
2015-01-13,16140.26
2015-01-14,16066.13
2015-01-15,15686.69
2015-01-16,15755.9
2015-01-19,15802.54
2015-01-20,16265.01
2015-01-21,16392.43
2015-01-22,16776.87
2015-01-23,16759.1
2015-01-26,16890.95
2015-01-27,16952.24
2015-01-28,16918.99
2015-01-29,16667.99
2015-01-30,16530.93
2015-02-02,16719.07
2015-02-03,17258.06
2015-02-04,17350.83
2015-02-05,17211.61
2015-02-06,17339.13
2015-02-09,17665.69
2015-02-10,17942.13
2015-02-11,17744.91
2015-02-12,18113.16
2015-02-13,18083.82
2015-02-16,17870.65
2015-02-17,17913.11
2015-02-18,18082.27
2015-02-19,18080.36
2015-02-20,18011.54
2015-02-23,18205.38
2015-02-24,18507.84
2015-02-25,18567.3
2015-02-26,18490.94
2015-02-27,18210.19
2015-03-02,18009.66
2015-03-03,17808.58
2015-03-04,17824.28
2015-03-05,17897.11
2015-03-06,18283.4
2015-03-09,18370.17
2015-03-10,18380.68
2015-03-11,18684.5
2015-03-12,18785.4
2015-03-13,18666.39
2015-03-16,18674.97
2015-03-17,18630.84
2015-03-18,18522.42
2015-03-19,18915.74
2015-03-20,19226.03
2015-03-23,19327.38
2015-03-24,19533.2
2015-03-25,20106.09
2015-03-26,20191.1
2015-03-27,19964.68
2015-03-30,20045.92
2015-03-31,19689.16
2015-04-01,19654.63
2015-04-02,20002.45
2015-04-03,20094.45
2015-04-06,20370.45
2015-04-07,20462.45
2015-04-08,20804.91
2015-04-09,20848.31
2015-04-10,21152.48
2015-04-13,22230.1
2015-04-14,21975.22
2015-04-15,22077.64
2015-04-16,21900.53
2015-04-17,21326.99
2015-04-20,21642.72
2015-04-21,21903.37
2015-04-22,21955.29
2015-04-23,22050.59
2015-04-24,22420.43
2015-04-27,22821.79
2015-04-28,22789.26
2015-04-29,22321.23
2015-04-30,22612.46
2015-05-01,22597.85
2015-05-04,22554.03
2015-05-05,22588.62
2015-05-06,22850.53
2015-05-07,22731.64
2015-05-08,22742.94
2015-05-11,22714.49
2015-05-12,22529.13
