Dátum,EUR,CHF,JPY,USD
1949-01-03,,2.73,,11.74
1949-02-01,,2.73,,11.74
1949-03-07,,2.73,,11.74
1949-04-29,,2.73,,11.74
1949-06-01,,2.73,,11.74
1949-06-20,,2.73,,11.74
1949-09-01,,2.73,,11.74
1949-09-19,,2.73,,11.74
1949-09-23,,2.73,,11.74
1949-09-26,,2.73,,11.74
1950-03-01,,2.73,,11.74
1952-01-10,,2.73,,11.74
1952-02-06,,2.73,,11.74
1952-04-28,,2.73,,11.74
1952-08-01,,2.69,,11.74
1952-08-18,,2.69,,11.74
1952-12-05,,2.69,,11.74
1953-01-01,,2.69,,11.74
1953-04-10,,2.69,,11.74
1953-06-05,,2.69,,11.74
1954-04-01,,2.69,,11.74
1955-03-01,,2.69,,11.74
1955-09-01,,2.69,,11.74
1956-01-01,,2.69,,11.74
1956-03-01,,2.69,,11.74
1957-04-01,,2.69,,11.74
1957-05-15,,2.69,,11.74
1957-07-01,,2.69,,11.74
1957-07-15,,2.69,,11.74
1957-08-16,,2.69,,11.74
1957-09-16,,2.69,,11.74
1957-10-01,,2.69,,11.74
1958-01-01,,2.69,,11.74
1958-03-01,,2.69,,11.74
1958-04-01,,2.69,,11.74
1958-06-01,,2.69,,11.74
1958-07-10,,2.69,,11.74
1958-09-15,,2.69,,11.74
1958-11-01,,2.69,,11.74
1958-12-29,,2.69,,11.74
1959-03-01,,2.69,,11.74
1959-04-01,,2.69,,11.74
1959-05-05,,2.69,,11.74
1959-06-01,,2.69,,11.74
1959-06-30,,2.69,,11.74
1959-09-01,,2.69,,11.74
1959-11-02,,2.69,,11.74
1959-12-01,,2.69,,11.74
1960-01-01,,2.69,,11.74
1960-02-01,,2.69,,11.74
1960-03-01,,2.69,,11.74
1960-04-22,,2.69,,11.74
1960-05-25,,2.69,,11.74
1960-09-01,,2.69,,11.74
1960-11-01,,2.69,,11.74
1961-01-01,,2.69,,11.74
1961-02-01,,2.69,,11.74
1961-03-01,,2.69,,11.74
1961-03-07,,2.69,,11.74
1961-07-01,,2.69,,11.74
1961-08-10,,2.69,,11.74
1961-12-04,,2.69,,11.74
1962-01-01,,2.69,,11.74
1962-02-01,,2.69,,11.74
1962-05-01,,2.69,,11.74
1962-06-01,,2.69,,11.74
1963-04-01,,2.69,,11.74
1963-09-01,,2.69,,11.74
1965-01-01,,2.69,,11.74
1965-08-16,,2.69,,11.74
1966-02-14,,2.69,,11.74
1966-06-13,,2.69,,11.74
1966-12-01,,2.69,,11.74
1967-02-23,,2.69,,11.74
1967-07-08,,2.69,,11.74
1967-11-20,,2.69,,11.74
1969-01-01,,6.86,,30.00
1969-08-11,,6.86,,30.00
1969-10-27,,6.86,,30.00
1971-04-01,,6.86,,30.00
1971-05-10,,7.35,,
1971-06-30,,7.35,,30.00
1971-08-16,,7.35,,30.00
1971-12-23,,7.20,,27.63
1972-02-01,,7.20,,27.63
1972-05-22,,7.20,,27.63
1973-01-20,,7.20,,27.63
1973-02-13,,,,24.87
1973-02-14,,,,
1973-02-16,,,,
1973-02-27,,,,24.87
1973-03-20,,7.41,,24.87
1973-09-21,,7.78,,23.38
1973-11-01,,,8.82,
1974-01-01,,7.35,8.50,23.38
1974-03-12,,7.35,8.50,23.38
1974-10-01,,7.35,8.50,23.38
1975-01-01,,7.26,7.35,21.75
1975-03-01,,7.62,6.91,20.45
1975-09-15,,7.62,6.91,20.45
1976-01-01,,15.41,13.54,41.30
1976-02-09,,15.41,13.54,41.30
1976-02-13,,15.41,13.54,41.30
1976-03-24,,15.64,13.67,41.70
1976-04-01,,15.64,13.67,41.70
1976-05-06,,15.64,13.67,41.70
1976-06-21,,15.92,13.67,41.70
1976-07-07,,15.92,13.67,41.70
1976-08-02,,15.92,13.67,41.70
1976-10-01,,16.16,14.38,41.70
1976-12-01,,16.26,14.24,41.30
1976-12-06,,16.26,14.24,41.30
1977-01-01,,16.26,14.24,41.30
1977-02-01,,16.26,14.24,41.30
1977-03-21,,16.09,14.51,41.20
1977-05-01,,16.09,14.51,41.20
1977-07-25,,16.09,15.04,40.60
1977-09-05,,16.09,15.04,40.60
1977-10-20,,16.42,15.62,40.60
1978-01-01,,16.78,16.24,39.80
1978-03-03,,17.62,16.24,39.00
1978-04-24,,18.15,17.04,37.83
1978-06-01,,18.15,17.04,37.83
1978-08-01,,19.06,18.54,37.45
1978-11-01,,19.06,18.54,37.45
1978-11-10,,20.58,18.54,35.58
1979-02-15,,20.58,17.99,35.58
1979-04-10,,20.58,16.78,35.58
1979-05-10,,20.58,16.11,35.58
1979-07-12,,20.58,16.11,35.58
1980-01-01,,20.58,14.20,34.00
1980-02-01,,20.87,14.01,33.50
1980-03-01,,19.42,12.96,31.93
1980-04-01,,18.45,13.25,32.97
1980-05-01,,18.98,13.16,32.60
1980-06-01,,19.33,14.29,32.24
1980-07-01,,19.47,14.81,32.05
1980-08-01,,19.65,14.31,31.79
1980-09-01,,19.34,14.41,32.24
1980-10-01,,19.34,15.01,32.24
1980-10-16,,19.34,15.01,32.24
1980-11-01,,19.15,15.01,32.61
1980-12-01,,18.65,14.86,32.21
1981-01-01,,18.39,15.65,32.55
1981-02-01,,18.00,16.38,33.00
1981-03-01,,17.67,16.38,33.57
1981-04-01,,17.67,16.06,33.57
1981-05-01,,17.20,15.90,34.05
1981-06-01,,16.84,15.71,34.73
1981-07-01,,17.01,15.71,35.07
1981-08-01,,16.88,15.25,35.61
1981-09-01,,16.68,15.56,35.95
1981-09-17,,,,
1981-10-01,,17.51,15.09,35.00
1981-10-06,,17.60,15.09,35.00
1981-10-13,,17.89,15.09,34.70
1981-10-20,,17.98,15.09,34.53
1981-10-27,,17.98,14.76,34.53
1981-11-03,,17.98,14.76,34.70
1981-11-10,,18.23,14.84,34.43
1981-11-17,,18.32,14.97,34.43
1981-11-24,,18.51,15.04,34.43
1981-12-01,,18.51,15.19,34.43
1981-12-08,,18.51,15.51,34.43
1981-12-15,,18.51,15.51,34.43
1981-12-22,,18.51,15.65,34.43
1981-12-29,,18.51,15.65,34.43
1982-01-05,,18.81,15.65,34.43
1982-01-12,,18.81,15.65,34.43
1982-01-19,,18.62,15.43,34.43
1982-01-26,,18.52,15.31,34.43
1982-02-02,,18.52,15.05,34.43
1982-02-09,,18.52,14.93,34.62
1982-02-16,,18.29,14.74,34.62
1982-02-23,,18.29,14.61,34.62
