Dátum,Energiafogyasztás
2009-01-01,104.23
2009-01-02,105.86
2009-01-03,106.62
2009-01-04,109.23
2009-01-05,124.18
2009-01-06,128.56
2009-01-07,131.27
2009-01-08,129.31
2009-01-09,130.53
2009-01-10,122.62
2009-01-11,119.13
2009-01-12,133.12
2009-01-13,136.85
2009-01-14,135.74
2009-01-15,133.96
2009-01-16,129.89
2009-01-17,118.17
2009-01-18,115.31
2009-01-19,128.07
2009-01-20,128.37
2009-01-21,130.25
2009-01-22,129.16
2009-01-23,127.03
2009-01-24,113.41
2009-01-25,108.32
2009-01-26,124.13
2009-01-27,128.24
2009-01-28,128.53
2009-01-29,128.29
2009-01-30,125.33
2009-01-31,113.14
2009-02-01,109.8
2009-02-02,124.72
2009-02-03,128.9
2009-02-04,127.96
2009-02-05,125.83
2009-02-06,121.68
2009-02-07,110.5
2009-02-08,106.98
2009-02-09,124.1
2009-02-10,126.62
2009-02-11,126.15
2009-02-12,126.94
2009-02-13,125.78
2009-02-14,114.75
2009-02-15,110.04
2009-02-16,126.27
2009-02-17,128.4
2009-02-18,128.16
2009-02-19,128.89
2009-02-20,127.2
2009-02-21,115.24
2009-02-22,110.75
2009-02-23,126.36
2009-02-24,127.85
2009-02-25,126.48
2009-02-26,126.44
2009-02-27,123.54
2009-02-28,111.41
2009-03-01,106.94
2009-03-02,121.98
2009-03-03,124.02
2009-03-04,124.4
2009-03-05,124.58
2009-03-06,120.65
2009-03-07,109.34
2009-03-08,104.21
2009-03-09,120.18
2009-03-10,121.38
2009-03-11,122.58
2009-03-12,122.35
2009-03-13,121.41
2009-03-14,106.76
2009-03-15,100.96
2009-03-16,118.14
2009-03-17,121.53
2009-03-18,122.21
2009-03-19,122.56
2009-03-20,120.14
2009-03-21,108.07
2009-03-22,103.58
2009-03-23,117.89
2009-03-24,121.1
2009-03-25,120.42
2009-03-26,120.73
2009-03-27,117.25
2009-03-28,107.76
2009-03-29,96.07
2009-03-30,114.06
2009-03-31,115.42
2009-04-01,114.34
2009-04-02,113.42
2009-04-03,111.13
2009-04-04,98.92
2009-04-05,94.77
2009-04-06,108.85
2009-04-07,111
2009-04-08,111.02
2009-04-09,111.33
2009-04-10,107.04
2009-04-11,96.6
2009-04-12,87.33
2009-04-13,84
2009-04-14,104.03
2009-04-15,108.44
2009-04-16,109.27
2009-04-17,108.8
2009-04-18,98.5
2009-04-19,94.41
2009-04-20,107.79
2009-04-21,110.17
2009-04-22,110.08
2009-04-23,110.39
2009-04-24,109.09
2009-04-25,98.64
2009-04-26,94.92
2009-04-27,108.12
2009-04-28,110.72
2009-04-29,110.87
2009-04-30,107.75
2009-05-01,89.03
2009-05-02,90.78
2009-05-03,90.54
2009-05-04,106.23
2009-05-05,109.9
2009-05-06,111.04
2009-05-07,110.59
2009-05-08,108.51
2009-05-09,98.85
2009-05-10,94.89
2009-05-11,109.08
2009-05-12,110.72
2009-05-13,110.14
2009-05-14,111.66
2009-05-15,109.01
2009-05-16,98.8
2009-05-17,93.74
2009-05-18,109.51
2009-05-19,113.01
2009-05-20,113.29
2009-05-21,113.81
2009-05-22,113.19
2009-05-23,99.43
2009-05-24,94.22
2009-05-25,111.45
2009-05-26,114.11
2009-05-27,112.59
2009-05-28,109.95
2009-05-29,106.71
2009-05-30,96.43
2009-05-31,89.1
2009-06-01,87.2
2009-06-02,105.2
2009-06-03,109.99
2009-06-04,110.35
2009-06-05,109.97
2009-06-06,100.59
2009-06-07,96.23
2009-06-08,109.47
2009-06-09,114.84
2009-06-10,115.6
2009-06-11,114.43
2009-06-12,109.29
2009-06-13,98.44
2009-06-14,94.56
2009-06-15,112.62
2009-06-16,116.56
2009-06-17,114.67
2009-06-18,115.12
2009-06-19,115.99
2009-06-20,101.24
2009-06-21,93.55
2009-06-22,109.81
2009-06-23,112.83
2009-06-24,111.09
2009-06-25,114.24
2009-06-26,112.09
2009-06-27,100.65
2009-06-28,95.77
2009-06-29,111.24
2009-06-30,115.95
2009-07-01,117.62
2009-07-02,117.47
2009-07-03,116.31
2009-07-04,105.17
2009-07-05,99.94
2009-07-06,116.21
2009-07-07,117.38
2009-07-08,115.6
2009-07-09,114.48
2009-07-10,112.41
2009-07-11,100.43
2009-07-12,96.29
2009-07-13,112.9
2009-07-14,119.37
2009-07-15,122.56
2009-07-16,123.66
2009-07-17,123.74
2009-07-18,107.88
2009-07-19,96.87
2009-07-20,111.7
2009-07-21,116.71
2009-07-22,119.66
2009-07-23,122.27
2009-07-24,120.91
2009-07-25,104.46
2009-07-26,96.94
2009-07-27,110.31
2009-07-28,114.94
2009-07-29,117.14
2009-07-30,118.33
2009-07-31,115.98
2009-08-01,104.42
2009-08-02,101.86
2009-08-03,116.37
2009-08-04,115.66
2009-08-05,113.85
2009-08-06,113.68
2009-08-07,112.11
2009-08-08,101.32
2009-08-09,97.02
2009-08-10,109.66
2009-08-11,112.7
2009-08-12,112.71
2009-08-13,112.31
2009-08-14,110
2009-08-15,100.87
2009-08-16,96.22
2009-08-17,111.69
2009-08-18,115.75
2009-08-19,111.34
2009-08-20,92.82
2009-08-21,97.69
2009-08-22,97.45
2009-08-23,93.47
2009-08-24,108.53
2009-08-25,114.03
2009-08-26,117.2
2009-08-27,119.02
2009-08-28,119.16
2009-08-29,109.71
2009-08-30,97.41
2009-08-31,111.04
2009-09-01,114.9
2009-09-02,116.68
2009-09-03,119.66
2009-09-04,117.38
2009-09-05,101.44
2009-09-06,96.12
2009-09-07,111.75
2009-09-08,114.24
2009-09-09,116.26
2009-09-10,117.44
2009-09-11,116.75
2009-09-12,105.9
2009-09-13,99.95
2009-09-14,114.51
2009-09-15,116.56
2009-09-16,116.64
2009-09-17,119.08
2009-09-18,116.41
2009-09-19,105.07
2009-09-20,100.15
2009-09-21,114.19
2009-09-22,117.14
2009-09-23,117.81
2009-09-24,118.03
2009-09-25,115.38
2009-09-26,103.52
2009-09-27,98.51
2009-09-28,111.78
2009-09-29,116.41
2009-09-30,116.58
2009-10-01,117.67
2009-10-02,115.03
2009-10-03,103.94
2009-10-04,99.14
2009-10-05,113.48
2009-10-06,117.12
2009-10-07,118.34
2009-10-08,118.58
2009-10-09,116.72
2009-10-10,104.82
2009-10-11,100.54
2009-10-12,117.6
2009-10-13,120.18
2009-10-14,122.98
2009-10-15,124.39
2009-10-16,123.6
2009-10-17,112.31
2009-10-18,106.39
2009-10-19,120.8
2009-10-20,123.08
2009-10-21,123.88
2009-10-22,120.09
2009-10-23,99.47
2009-10-24,101.7
2009-10-25,103.87
2009-10-26,118.86
2009-10-27,119.92
2009-10-28,120.73
2009-10-29,121.66
2009-10-30,119.79
2009-10-31,108.59
2009-11-01,101.49
2009-11-02,120.26
2009-11-03,126.2
2009-11-04,126.13
2009-11-05,127.73
2009-11-06,125.74
2009-11-07,113.62
2009-11-08,108.12
2009-11-09,120.52
2009-11-10,125.06
2009-11-11,125.2
2009-11-12,123.92
2009-11-13,121.57
2009-11-14,113.62
2009-11-15,105.92
2009-11-16,121.68
2009-11-17,123.04
2009-11-18,123.73
2009-11-19,121.86
2009-11-20,123.12
2009-11-21,113.23
2009-11-22,107.76
2009-11-23,124.47
2009-11-24,125.76
2009-11-25,124.08
2009-11-26,125.08
2009-11-27,125.03
2009-11-28,113.4
2009-11-29,107.49
2009-11-30,122.31
2009-12-01,125.95
2009-12-02,125.15
2009-12-03,126.15
2009-12-04,125.94
2009-12-05,114.49
2009-12-06,108.38
2009-12-07,125.17
2009-12-08,128.69
2009-12-09,126.99
2009-12-10,126.27
2009-12-11,126.98
2009-12-12,117.09
2009-12-13,112.75
2009-12-14,128.83
2009-12-15,130.03
2009-12-16,128.03
2009-12-17,130.19
2009-12-18,128.66
2009-12-19,126.28
2009-12-20,118.11
2009-12-21,125.77
2009-12-22,123.71
2009-12-23,118.6
2009-12-24,105.43
2009-12-25,97.01
2009-12-26,95.93
2009-12-27,102.02
2009-12-28,108.76
2009-12-29,108.84
2009-12-30,110.2
2009-12-31,103.88
2010-01-01,96.05
2010-01-02,102.44
2010-01-03,105.14
2010-01-04,121.47
2010-01-05,127.47
2010-01-06,128.25
2010-01-07,127.62
2010-01-08,127.82
2010-01-09,114.99
2010-01-10,109.78
2010-01-11,124.74
2010-01-12,126.47
2010-01-13,128.16
2010-01-14,128.71
2010-01-15,124.6
2010-01-16,114.5
2010-01-17,113.36
2010-01-18,128.56
2010-01-19,129.51
2010-01-20,129.94
2010-01-21,131.23
2010-01-22,129.85
2010-01-23,118.96
