Dátum,Benzin (HUF/l),Diesel (HUF/l)
2005-01-03,233.0701548,236.9404956
2005-01-10,230.077344,230.976858
2005-01-17,236.0743872,230.9559232
2005-01-24,241.0557282,230.944293
2005-01-31,241.034296,230.942592
2005-02-07,241.0571196,230.9539078
2005-02-14,241.0431933,230.932858
2005-02-21,241.033199,230.9631445
2005-02-28,241.029836,230.933016
2005-03-07,241.006896,235.950858
2005-03-14,246.0394323,241.9506639
2005-03-21,245.988395,241.954907
2005-04-04,253.5588416,249.46256
2005-04-11,260.3910822,254.2713779
2005-04-18,260.3617742,254.2494122
2005-04-25,258.3118334,251.2099016
2005-05-02,258.3033605,251.1753865
2005-05-09,258.299865,249.213075
2005-05-16,256.311083,246.276366
2005-05-23,256.272093,243.1724625
2005-05-30,256.2783093,243.1764735
2005-06-06,258.2671392,246.1507368
2005-06-13,261.9791344,252.0483462
2005-06-20,264.0391302,256.0359115
2005-06-27,264.0645656,256.0359604
2005-07-04,264.05506,256.0350425
2005-07-11,268.0803968,260.0293632
2005-07-18,272.3456112,263.3835984
2005-07-25,272.4682752,262.559088
2005-08-01,273.2003428,262.3261245
2005-08-08,276.0298125,262.806375
2005-08-15,276.1498432,262.8357984
2005-08-22,280.6961885,268.423064
2005-08-29,280.302946,268.654484
2005-09-05,282.204,271.3449375
2005-09-12,291.7267353,276.3237906
2005-09-19,287.5950201,273.4188564
2005-09-26,284.6222225,273.0699015
2005-10-03,273.4115265,261.9668475
2005-10-10,273.4072083,262.0747089
2005-10-17,273.768055,264.7982025
2005-10-24,271.9803222,264.7110894
2005-11-07,262.0769877,262.8607003
2005-11-14,261.7976403,260.814708
2005-11-21,259.693627,260.785182
2005-11-28,257.5467388,257.8153409
2005-12-05,257.0346486,254.7107192
2005-12-12,256.7731285,254.6103035
2005-12-19,259.3982815,254.231589
2006-01-09,259.1113416,252.6132124
2006-01-16,264.0074976,255.626784
2006-01-23,263.4625,255.5675
2006-01-30,267.3498852,259.7075784
2006-02-06,267.1917028,259.6133056
2006-02-13,264.3879888,259.5694176
2006-02-20,264.38984,259.570168
2006-02-27,258.673625,258.19135
2006-03-06,260.5581824,260.1659136
2006-03-13,260.4962016,262.825632
2006-03-20,263.4058284,262.4772194
2006-03-27,268.3197006,264.4098366
2006-04-03,273.2643276,267.4127247
2006-04-10,273.2857816,267.4243312
2006-04-24,278.4749702,270.6519319
2006-05-01,286.8595408,277.059532
2006-05-08,290.2749105,279.1860482
2006-05-15,290.3107734,279.4200662
2006-05-22,290.391696,279.425889
2006-05-29,287.6483792,274.7830512
2006-06-05,287.7632244,274.8855918
2006-06-12,292.740658,276.74826
2006-06-19,293.0119296,277.0842542
2006-06-26,293.04432,277.171086
2006-07-03,297.9702645,284.0669632
2006-07-10,305.95842,291.01765
2006-07-17,308.8397474,291.0810202
2006-07-24,308.842125,291.0169308
2006-07-31,308.7578214,289.0129795
2006-08-07,308.60151,285.9774
2006-08-14,308.427529,286.0561938
2006-08-21,302.7195088,286.025408
2006-08-28,296.971851,286.0816857
2006-09-04,294.0722038,289.14046
2006-09-11,284.6287305,286.2375935
2006-09-18,278.7084131,281.2965919
2006-09-25,272.4602424,272.1609502
2006-10-02,268.6365,268.785
2006-10-09,268.7520385,268.7792415
2006-10-16,265.832602,268.656458
2006-10-23,264.1075974,268.8105369
2006-10-30,261.2527728,265.666528
2006-11-06,261.2234088,265.6422216
2006-11-13,259.477452,261.893036
2006-11-20,259.6883178,262.1726058
2006-11-27,258.079555,259.3785525
2006-12-04,258.0557662,259.4251024
2006-12-11,257.9703857,259.4238409
2006-12-18,258.2314128,259.4505354
2007-01-08,257.9149188,251.4694518
2007-01-15,253.617642,246.306742
2007-01-22,248.352136,243.0289395
2007-01-29,247.9195116,242.8090128
2007-02-05,247.3644635,242.452265
