Név,Dátum,Utolsó ár
BUX,2010.01.04.,21561.77
BUX,2010.01.05.,22043.62
BUX,2010.01.06.,22164.72
BUX,2010.01.07.,21961.18
BUX,2010.01.08.,22197.11
BUX,2010.01.11.,22962.52
BUX,2010.01.12.,22659.62
BUX,2010.01.13.,22735.33
BUX,2010.01.14.,22981.48
BUX,2010.01.15.,22510.2
BUX,2010.01.18.,22693.78
BUX,2010.01.19.,22784.47
BUX,2010.01.20.,22541.06
BUX,2010.01.21.,22127.31
BUX,2010.01.22.,21667.39
BUX,2010.01.25.,21880.91
BUX,2010.01.26.,21611.25
BUX,2010.01.27.,21404.06
BUX,2010.01.28.,21559.36
BUX,2010.01.29.,21831.46
BUX,2010.02.01.,21929.66
BUX,2010.02.02.,21858.25
BUX,2010.02.03.,21811.63
BUX,2010.02.04.,20815.27
BUX,2010.02.05.,20224.74
BUX,2010.02.08.,20300.11
BUX,2010.02.09.,20622.83
BUX,2010.02.10.,20660.12
BUX,2010.02.11.,20670.46
BUX,2010.02.12.,20733.44
BUX,2010.02.15.,20898.64
BUX,2010.02.16.,21207.77
BUX,2010.02.17.,21653.99
BUX,2010.02.18.,21374.66
BUX,2010.02.19.,21344.89
BUX,2010.02.22.,21481.31
BUX,2010.02.23.,20861.92
BUX,2010.02.24.,20623.67
BUX,2010.02.25.,20621.53
BUX,2010.02.26.,21267.81
BUX,2010.03.01.,21549.33
BUX,2010.03.02.,21630.67
BUX,2010.03.03.,21474.79
BUX,2010.03.04.,21579.93
BUX,2010.03.05.,22193.7
BUX,2010.03.08.,22360.88
BUX,2010.03.09.,22397.3
BUX,2010.03.10.,22852.58
BUX,2010.03.11.,22863.24
BUX,2010.03.12.,23210.19
BUX,2010.03.16.,23936.99
BUX,2010.03.17.,23780.7
BUX,2010.03.18.,24000.01
BUX,2010.03.19.,23546.14
BUX,2010.03.22.,23872.75
BUX,2010.03.23.,24113.63
BUX,2010.03.24.,24442.43
BUX,2010.03.25.,25047.54
BUX,2010.03.26.,24655.24
BUX,2010.03.29.,24399.81
BUX,2010.03.30.,24316.57
BUX,2010.03.31.,24245.55
BUX,2010.04.01.,24890.16
BUX,2010.04.02.,24987.66
BUX,2010.04.06.,25322.96
BUX,2010.04.07.,25307.34
BUX,2010.04.08.,24480.67
BUX,2010.04.09.,25153.74
BUX,2010.04.12.,25163.09
BUX,2010.04.13.,24893.91
BUX,2010.04.14.,25061.15
BUX,2010.04.15.,24913.72
BUX,2010.04.16.,24600.92
BUX,2010.04.19.,23863.82
BUX,2010.04.20.,23797.6
BUX,2010.04.21.,24042.24
BUX,2010.04.22.,23927.45
BUX,2010.04.23.,24469.58
BUX,2010.04.26.,24952.41
BUX,2010.04.27.,24891.65
BUX,2010.04.28.,24321.96
BUX,2010.04.29.,24725.64
BUX,2010.04.30.,24764.76
BUX,2010.05.03.,24550.46
BUX,2010.05.04.,23688.03
BUX,2010.05.05.,23207.57
BUX,2010.05.06.,22888.34
BUX,2010.05.07.,21423.66
BUX,2010.05.10.,23837.0
BUX,2010.05.11.,23254.28
BUX,2010.05.12.,23524.32
BUX,2010.05.13.,23712.05
BUX,2010.05.14.,23193.86
BUX,2010.05.17.,23100.05
BUX,2010.05.18.,23310.71
BUX,2010.05.19.,22595.31
BUX,2010.05.20.,21964.53
BUX,2010.05.21.,21681.28
BUX,2010.05.25.,20679.55
BUX,2010.05.26.,20875.76
BUX,2010.05.27.,21978.74
BUX,2010.05.28.,21938.47
BUX,2010.05.31.,22103.42
BUX,2010.06.01.,21761.11
BUX,2010.06.02.,22252.29
BUX,2010.06.03.,22023.79
BUX,2010.06.04.,21288.93
BUX,2010.06.07.,21192.5
BUX,2010.06.08.,21124.39
BUX,2010.06.09.,20915.07
BUX,2010.06.10.,21103.41
BUX,2010.06.11.,21277.44
BUX,2010.06.14.,21472.66
BUX,2010.06.15.,21456.23
BUX,2010.06.16.,21434.2
BUX,2010.06.17.,21412.99
BUX,2010.06.18.,21371.0
BUX,2010.06.21.,21929.94
BUX,2010.06.22.,21783.87
BUX,2010.06.23.,21479.33
BUX,2010.06.24.,21329.96
BUX,2010.06.25.,20843.79
