21.2.1.8. A bruttó hazai termék (GDP) termelése 2021. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptárhatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
1995.;I.;381 753;1 294 691;983 666;409 375;4 135 316;690 207;365 746;85 283;586 976;757 254;329 584;1 428 042;237 682;1 228 607;7 295 556
;II.;387 142;1 284 858;962 027;383 622;4 133 518;687 054;371 753;89 967;571 945;757 578;337 084;1 425 521;237 698;1 254 552;7 277 754
;III.;394 217;1 305 432;983 740;367 577;4 114 840;684 614;370 112;93 481;552 252;766 077;340 830;1 429 703;230 652;1 263 394;7 274 373
;IV.;371 005;1 323 898;983 027;336 066;4 112 705;683 624;370 625;95 467;537 646;768 776;348 524;1 429 144;227 161;1 283 612;7 243 809
1996.;I.;409 811;1 336 449;999 543;341 945;4 178 982;682 678;356 387;101 760;513 438;779 523;384 496;1 434 896;217 965;1 160 090;7 308 416
;II.;391 796;1 352 155;1 027 608;341 929;4 138 040;682 376;346 683;103 877;495 625;783 608;379 854;1 444 863;211 772;1 157 511;7 249 387
;III.;385 760;1 346 312;1 015 537;350 937;4 124 295;684 075;343 397;108 481;483 874;788 842;385 159;1 434 498;211 513;1 178 861;7 235 064
;IV.;421 070;1 376 964;1 047 077;356 126;4 143 472;688 522;345 830;115 100;469 732;793 898;384 494;1 433 488;208 861;1 179 612;7 325 703
1997.;I.;386 398;1 447 146;1 099 435;349 637;4 128 935;705 277;377 787;118 935;348 472;800 202;389 362;1 413 835;206 569;1 193 366;7 391 080
;II.;399 837;1 491 550;1 145 173;353 081;4 131 573;712 058;379 009;123 698;343 247;805 520;397 163;1 398 004;202 521;1 205 942;7 468 097
;III.;389 877;1 550 285;1 192 011;373 295;4 127 135;714 084;376 327;127 570;341 431;797 123;396 348;1 402 057;199 971;1 214 681;7 532 348
;IV.;377 689;1 577 328;1 224 873;408 957;4 144 117;722 655;379 668;130 467;338 816;793 014;400 742;1 400 839;195 883;1 235 384;7 593 994
1998.;I.;390 782;1 603 475;1 244 476;403 382;4 135 535;720 664;365 706;136 023;342 072;761 860;406 089;1 410 137;196 062;1 245 401;7 655 133
;II.;412 620;1 645 268;1 287 887;410 145;4 159 429;726 516;370 855;140 376;342 039;754 823;404 145;1 423 130;194 872;1 260 918;7 774 356
;III.;408 398;1 644 675;1 283 446;408 465;4 219 515;742 101;382 096;143 758;341 567;752 739;408 408;1 434 147;194 550;1 270 869;7 846 898
;IV.;404 819;1 634 661;1 283 066;416 053;4 247 528;747 815;384 540;149 766;342 080;750 613;409 034;1 446 544;195 939;1 275 085;7 848 158
1999.;I.;413 199;1 653 617;1 280 376;427 396;4 201 479;742 221;386 654;148 301;279 110;772 606;414 398;1 457 423;200 496;1 291 171;7 848 874
;II.;395 114;1 675 640;1 309 726;430 815;4 265 134;751 717;391 755;152 971;279 237;777 198;419 411;1 453 840;203 396;1 304 021;7 935 231
;III.;424 242;1 711 734;1 372 498;432 529;4 294 213;746 854;399 763;157 637;281 708;784 231;423 606;1 451 872;205 131;1 327 429;8 086 683
;IV.;427 865;1 764 572;1 413 804;441 874;4 305 390;742 364;399 008;165 487;282 565;793 899;431 267;1 436 536;204 587;1 339 331;8 179 164
2000.;I.;387 184;1 719 573;1 372 294;476 699;4 427 586;821 720;397 777;164 900;292 551;796 143;434 177;1 523 558;204 397;1 365 624;8 247 975
