20.2.1.2. A 15–74 éves népesség gazdasági aktivitása nemenként, havonta;;;;;;;;;
Év;Hónap;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;
2009.;január;3 860,3;373,0;4 233,3;3 449,1;7 682,4;55,1;8,8;50,2
;február;3 885,2;401,5;4 286,7;3 394,7;7 681,4;55,8;9,4;50,6
;március;3 885,6;436,2;4 321,8;3 358,4;7 680,2;56,3;10,1;50,6
;április;3 871,3;397,3;4 268,6;3 410,5;7 679,1;55,6;9,3;50,4
;május;3 936,8;391,7;4 328,5;3 349,5;7 678,0;56,4;9,0;51,3
;június;3 923,1;412,0;4 335,1;3 341,7;7 676,8;56,5;9,5;51,1
;július;3 903,4;410,6;4 314,0;3 361,7;7 675,7;56,2;9,5;50,9
;augusztus;3 910,5;426,8;4 337,3;3 337,3;7 674,6;56,5;9,8;51,0
;szeptember;3 884,3;456,1;4 340,5;3 332,9;7 673,3;56,6;10,5;50,6
;október;3 917,9;413,3;4 331,2;3 341,1;7 672,3;56,5;9,5;51,1
;november;3 887,2;444,1;4 331,3;3 339,8;7 671,1;56,5;10,3;50,7
;december;3 868,1;446,6;4 314,7;3 355,3;7 670,0;56,3;10,4;50,4
2010.;január;3 800,4;463,8;4 264,2;3 404,7;7 668,9;55,6;10,9;49,6
;február;3 830,9;507,4;4 338,3;3 329,4;7 667,7;56,6;11,7;50,0
;március;3 834,0;510,1;4 344,1;3 322,6;7 666,7;56,7;11,7;50,0
;április;3 850,5;460,8;4 311,3;3 354,1;7 665,4;56,2;10,7;50,2
;május;3 876,2;472,5;4 348,7;3 315,6;7 664,4;56,7;10,9;50,6
;június;3 885,8;478,4;4 364,3;3 299,0;7 663,3;57,0;11,0;50,7
;július;3 889,4;439,4;4 328,7;3 333,3;7 662,1;56,5;10,1;50,8
;augusztus;3 909,3;466,8;4 376,1;3 284,8;7 661,0;57,1;10,7;51,0
;szeptember;3 924,6;467,6;4 392,3;3 267,6;7 659,9;57,3;10,6;51,2
;október;3 920,5;436,1;4 356,6;3 302,1;7 658,7;56,9;10,0;51,2
;november;3 903,1;456,7;4 359,8;3 297,8;7 657,6;56,9;10,5;51,0
;december;3 860,6;469,4;4 330,1;3 326,4;7 656,5;56,6;10,8;50,4
2011.;január;3 825,4;500,3;4 325,7;3 329,7;7 655,3;56,5;11,6;50,0
;február;3 797,2;501,2;4 298,4;3 355,7;7 654,1;56,2;11,7;49,6
;március;3 841,9;484,1;4 326,0;3 327,1;7 653,1;56,5;11,2;50,2
;április;3 899,5;465,5;4 364,9;3 286,9;7 651,9;57,0;10,7;51,0
;május;3 892,0;452,2;4 344,3;3 306,5;7 650,8;56,8;10,4;50,9
;június;3 921,8;448,4;4 370,2;3 279,5;7 649,7;57,1;10,3;51,3
;július;3 953,4;453,6;4 406,9;3 241,5;7 648,5;57,6;10,3;51,7
;augusztus;3 922,8;455,6;4 378,5;3 268,9;7 647,4;57,3;10,4;51,3
;szeptember;3 952,5;453,7;4 406,2;3 240,0;7 646,2;57,6;10,3;51,7
;október;3 974,8;451,6;4 426,4;3 218,7;7 645,1;57,9;10,2;52,0
;november;3 940,9;440,8;4 381,7;3 263,0;7 644,7;57,3;10,1;51,6
;december;3 900,3;465,8;4 366,1;3 278,9;7 645,0;57,1;10,7;51,0
2012.;január;3 832,5;500,1;4 332,7;3 312,8;7 645,4;56,7;11,5;50,1
;február;3 854,4;507,5;4 361,8;3 281,6;7 643,4;57,1;11,6;50,4
;március;3 908,5;503,0;4 411,5;3 229,9;7 641,4;57,7;11,4;51,1
