20.2.1.57. Üres álláshelyek száma és aránya nemzetgazdasági áganként, negyedévente;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat A;Bányászat, kõfejtés B;Feldolgozóipar C;"Villamosenergia-, 
gáz-, gõzellátás, légkondicionálás D";Ipar víz- és hulladék-gazdálkodás nélkül B+C+D;Vízellátás, szennyvíz gyûjtése, kezelése, hulladék- gazdálkodás, szennyezõdés- mentesítés E;Ipar B+C+D+E;Építõipar F;Kereskedelem, gépjármûjavítás G;Szállítás, raktározás H;Szálláshely-szolgáltatás, vendéglátás I;Információ, kommunikáció J;Pénzügyi, biztosítási tevékenység K;Ingatlanügyletek L;Szakmai, tudományos, mûszaki tevékenység M;Adminisztratív és szolgáltatást támogató tevékenység N;"Közigazgatás, védelem; kötelezõ társadalom- biztosítás O";Oktatás P;Humán-egészségügyi, szociális ellátás Q;Mûvészet, szórakoztatás, szabad idõ R;Egyéb szolgáltatás S;Nemzetgazdaság összesen A–S;Ebbõl: versenyszféra A–S;Ebbõl: költségvetés A–S
Üres álláshelyek száma, db;;;;;;;;;;;;;;;;;;;;;;;;;
2021.;I.;565;68;15 916;423;16 407;596;17 003;2 689;3 235;3 548;940;2 840;1 306;221;2 335;6 261;7 697;4 973;8 062;623;237;62 535;39 444;20 333
;II.;796;59;17 147;319;17 525;638;18 163;2 743;4 502;3 874;2 303;3 353;1 566;363;2 735;10 255;7 883;6 635;8 319;662;384;74 534;49 075;22 469
;III.;726;83;18 079;392;18 554;629;19 183;3 674;5 158;4 508;2 648;3 162;1 954;392;3 351;12 590;8 243;5 801;8 305;685;463;80 843;55 840;21 769
;IV.;693;106;20 235;355;20 696;718;21 414;4 178;5 221;4 404;1 943;3 294;1 752;327;3 746;8 519;8 456;6 403;8 675;581;382;79 987;53 987;22 902
2022.;I. ;624;79;22 426;364;22 869;688;23 557;3 398;6 019;4 547;2 711;3 820;1 282;354;4 422;10 101;9 222;6 634;9 154;635;401;86 881;59 467;24 237
;II.;655;70;24 891;370;25 331;674;26 005;3 262;6 868;5 483;2 371;5 273;2 317;351;4 349;13 476;9 762;7 973;9 572;553;417;98 688;69 009;25 931
;III.;733;66;20 935;616;21 617;725;22 342;2 940;5 799;5 786;1 753;3 747;2 063;375;4 303;12 467;9 850;6 770;9 377;623;472;89 400;61 639;25 000
;IV.;614;25;19 841;578;20 444;977;21 421;3 032;4 851;5 459;1 847;3 358;1 807;387;3 222;11 690;8 368;6 413;9 496;603;303;82 871;56 861;23 122
2023.;I. ;721;51;20 335;708;21 094;808;21 902;2 860;4 813;5 153;2 354;3 192;1 989;557;3 335;10 962;8 283;6 852;9 073;767;311;83 124;57 014;23 256
;II.;815;33;18 130;682;18 845;1 001;19 846;2 869;4 719;4 857;1 477;2 990;2 085;387;3 487;10 609;8 104;7 620;9 025;608;254;79 751;53 071;23 813
;III.;784;26;16 773;577;17 376;1 019;18 395;2 662;5 106;4 932;2 446;3 048;1 853;495;3 084;9 932;8 382;7 317;9 166;549;424;78 574;51 658;23 971
;IV.;658;24;14 152;524;14 700;888;15 588;2 429;4 351;4 556;1 887;2 231;1 711;493;2 747;11 256;8 460;7 611;9 358;597;517;74 450;47 001;24 585
2024.;I. ;810;16;13 402;578;13 996;639;14 635;2 551;4 661;4 007;2 163;2 215;1 894;601;3 443;8 335;8 140;7 050;8 723;558;339;70 125;44 245;23 139
;II.;777;17;13 337;544;13 898;888;14 786;2 528;4 477;3 645;2 048;2 333;2 097;517;3 226;9 137;8 081;8 138;8 298;505;356;70 949;44 522;23 734
