Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)"
"Limit values";-;;85;;50
"2024-01-01 00:00:00";779;20,7;17,1;48,7;18
"2024-01-02 00:00:00";758;9,1;16,4;30,3;15
"2024-01-03 00:00:00";693;8,7;15,8;29,1;15
"2024-01-04 00:00:00";615;4,1;11,8;18,1;9
"2024-01-05 00:00:00";784;13,1;20,2;40,3;22
"2024-01-06 00:00:00";828;7,9;14,7;26,7;25
"2024-01-07 00:00:00";700;3,3;8,8;13,9;11
"2024-01-08 00:00:00";764;3,9;11,3;17,3;22
"2024-01-09 00:00:00";809;2,9;14,0;18,5;13
"2024-01-10 00:00:00";1092;22,5;30,4;64,8;38
"2024-01-11 00:00:00";898;10,4;18,9;34,9;31
"2024-01-12 00:00:00";745;5,3;12,6;20,7;19
"2024-01-13 00:00:00";712;6,6;12,7;22,8;20
"2024-01-14 00:00:00";812;9,4;16,7;31,2;27
"2024-01-15 00:00:00";752;9,4;15,1;29,5;28
"2024-01-16 00:00:00";621;6,1;15,1;24,4;17
"2024-01-17 00:00:00";823;10,1;18,8;34,3;28
"2024-01-18 00:00:00";1013;39,9;21,0;82,1;32
"2024-01-19 00:00:00";516;4,5;12,4;19,2;16
"2024-01-20 00:00:00";472;4,7;13,3;20,4;18
"2024-01-21 00:00:00";610;4,6;18,1;25,1;32
"2024-01-22 00:00:00";871;11,5;21,3;38,9;51
"2024-01-23 00:00:00";640;8,7;17,1;30,4;36
"2024-01-24 00:00:00";586;12,6;23,1;42,4;17
"2024-01-25 00:00:00";336;1,4;5,5;7,6;12
"2024-01-26 00:00:00";407;3,9;12,5;18,6;13
"2024-01-27 00:00:00";387;1,6;5,0;7,5;7
"2024-01-28 00:00:00";547;9,7;17,4;32,2;15
"2024-01-29 00:00:00";796;29,4;27,3;72,3;32
"2024-01-30 00:00:00";898;25,0;24,6;62,9;38
"2024-01-31 00:00:00";1036;29,8;27,4;73,0;51
"2024-02-01 00:00:00";930;18,3;19,8;47,8;52
"2024-02-02 00:00:00";525;4,5;12,7;19,6;16
"2024-02-03 00:00:00";464;3,1;9,7;14,5;11
"2024-02-04 00:00:00";376;1,4;5,1;7,3;3
"2024-02-05 00:00:00";383;3,2;9,1;13,9;8
"2024-02-06 00:00:00";351;6,4;15,9;25,7;25
"2024-02-07 00:00:00";259;9,0;18,9;32,6;26
"2024-02-08 00:00:00";274;7,4;19,1;30,4;25
"2024-02-09 00:00:00";226;8,1;17,9;30,3;25
"2024-02-10 00:00:00";189;6,0;16,7;25,9;26
"2024-02-11 00:00:00";218;5,5;13,7;22,1;12
"2024-02-12 00:00:00";214;5,1;12,7;20,5;13
"2024-02-13 00:00:00";241;2,6;8,4;12,3;11
"2024-02-14 00:00:00";342;7,5;20,1;31,6;18
"2024-02-15 00:00:00";564;15,8;26,3;50,5;43
"2024-02-16 00:00:00";439;10,2;21,9;37,6;36
"2024-02-17 00:00:00";506;15,7;23,6;47,6;33
"2024-02-18 00:00:00";331;3,8;13,9;19,6;21
"2024-02-19 00:00:00";486;12,4;21,1;40,0;28
"2024-02-20 00:00:00";267;4,6;13,3;20,3;12
"2024-02-21 00:00:00";382;4,6;15,1;22,2;16
"2024-02-22 00:00:00";455;5,6;16,2;24,9;21
"2024-02-23 00:00:00";559;9,0;20,4;34,2;23
"2024-02-24 00:00:00";499;11,3;21,9;39,1;25
"2024-02-25 00:00:00";503;7,7;20,5;32,3;17
"2024-02-26 00:00:00";562;15,4;21,5;45,0;34
"2024-02-27 00:00:00";667;21,6;22,9;55,9;45
"2024-02-28 00:00:00";624;14,6;23,2;45,6;43
"2024-02-29 00:00:00";618;12,1;20,4;38,9;42
"2024-03-01 00:00:00";561;6,7;19,5;29,7;42
"2024-03-02 00:00:00";509;5,6;13,8;22,4;28
"2024-03-03 00:00:00";527;7,3;16,1;27,3;26
"2024-03-04 00:00:00";603;15,1;24,2;47,3;34
"2024-03-05 00:00:00";619;16,9;20,4;46,2;37
"2024-03-06 00:00:00";569;11,7;19,4;37,2;27
"2024-03-07 00:00:00";549;5,1;14,0;21,8;18
"2024-03-08 00:00:00";541;5,9;14,2;23,2;34
"2024-03-09 00:00:00";497;4,1;14,0;20,3;26
"2024-03-10 00:00:00";478;4,3;14,1;20,7;21
"2024-03-11 00:00:00";455;6,2;15,0;24,4;24
"2024-03-12 00:00:00";420;4,5;14,3;21,3;16
"2024-03-13 00:00:00";429;3,3;12,0;17,1;21
"2024-03-14 00:00:00";515;4,9;19,3;26,9;25
"2024-03-15 00:00:00";584;10,6;21,8;38,1;25
"2024-03-16 00:00:00";552;9,8;23,0;37,9;31
"2024-03-17 00:00:00";378;1,9;8,5;11,4;7
"2024-03-18 00:00:00";462;3,8;17,1;23,0;14
"2024-03-19 00:00:00";520;4,7;19,8;27,0;16
"2024-03-20 00:00:00";597;22,8;26,8;61,7;27
"2024-03-21 00:00:00";596;32,3;31,0;80,4;33
"2024-03-22 00:00:00";451;25,2;27,0;65,7;32
"2024-03-23 00:00:00";442;20,1;23,1;53,9;28
"2024-03-24 00:00:00";327;3,9;18,0;23,9;6
"2024-03-25 00:00:00";353;8,2;19,9;32,5;10
"2024-03-26 00:00:00";488;11,3;19,0;36,3;20
"2024-03-27 00:00:00";374;3,3;15,6;20,7;30
"2024-03-28 00:00:00";325;4,5;14,5;21,4;23
"2024-03-29 00:00:00";323;3,0;14,2;18,8;11
"2024-03-30 00:00:00";418;21,2;25,1;57,5;57
"2024-03-31 00:00:00";324;7,6;22,2;33,8;64
"2024-04-01 00:00:00";261;3,0;12,2;16,7;135
"2024-04-02 00:00:00";308;2,1;10,0;13,1;8
"2024-04-03 00:00:00";385;6,0;19,7;28,9;12
"2024-04-04 00:00:00";362;4,6;20,1;27,1;10
"2024-04-05 00:00:00";274;9,6;24,7;39,3;18
"2024-04-06 00:00:00";262;14,0;30,2;51,5;25
"2024-04-07 00:00:00";193;10,3;22,3;38,0;18
"2024-04-08 00:00:00";342;13,3;27,6;48,0;32
"2024-04-09 00:00:00";430;7,2;26,7;37,7;31
"2024-04-10 00:00:00";398;6,3;12,3;22,0;28
"2024-04-11 00:00:00";426;4,4;15,0;21,7;29
