Date;"CO (ug/m3)";"NO (ug/m3)";"NO2 (ug/m3)";"NOx (ug/m3)";"PM10 (ug/m3)";"SO2 (ug/m3)"
"Limit values";-;;85;;50;125
"2019-01-01 00:00:00";;24,1;25,3;62,2;18;2,2
"2019-01-02 00:00:00";;10,5;24,1;40,2;10;2,0
"2019-01-03 00:00:00";;10,7;21,5;38,0;10;2,3
"2019-01-04 00:00:00";;29,6;31,7;77,1;19;2,9
"2019-01-05 00:00:00";;19,5;26,5;56,4;22;3,7
"2019-01-06 00:00:00";;12,0;17,2;35,6;18;2,7
"2019-01-07 00:00:00";;31,5;35,6;84,0;29;4,0
"2019-01-08 00:00:00";;39,2;38,1;98,2;36;5,6
"2019-01-09 00:00:00";;40,6;38,3;100,6;42;5,1
"2019-01-10 00:00:00";;22,5;30,1;64,6;38;3,5
"2019-01-11 00:00:00";;35,6;43,0;97,6;47;6,1
"2019-01-12 00:00:00";;24,8;34,8;72,8;29;3,8
"2019-01-13 00:00:00";;19,8;28,8;59,2;23;3,3
"2019-01-14 00:00:00";;;;;19;3,7
"2019-01-15 00:00:00";;37,6;46,8;104,5;13;2,3
"2019-01-16 00:00:00";;43,8;38,9;106,0;14;2,1
"2019-01-17 00:00:00";;36,9;44,9;101,4;21;4,2
"2019-01-18 00:00:00";;58,8;46,7;136,9;21;3,4
"2019-01-19 00:00:00";;4,1;27,7;33,9;21;1,9
"2019-01-20 00:00:00";;3,8;28,3;34,1;38;1,5
"2019-01-21 00:00:00";;10,8;41,0;57,6;47;3,7
"2019-01-22 00:00:00";;12,0;41,2;59,6;68;2,5
"2019-01-23 00:00:00";;12,4;36,8;55,8;45;2,6
"2019-01-24 00:00:00";;7,5;28,9;40,3;29;4,4
"2019-01-25 00:00:00";;25,4;39,2;78,3;43;4,2
"2019-01-26 00:00:00";;9,9;36,8;52,0;33;4,7
"2019-01-27 00:00:00";;6,4;32,9;42,8;29;2,3
"2019-01-28 00:00:00";;46,9;61,3;133,3;39;2,0
"2019-01-29 00:00:00";;47,0;54,5;126,5;43;1,9
"2019-01-30 00:00:00";;36,3;47,4;103,1;52;1,9
"2019-01-31 00:00:00";;67,3;61,9;165,2;64;2,2
"2019-02-01 00:00:00";;32,6;45,6;95,5;31;2,9
"2019-02-02 00:00:00";;13,7;41,6;62,6;19;2,0
"2019-02-03 00:00:00";;11,3;33,0;50,4;26;1,8
"2019-02-04 00:00:00";;21,5;26,2;59,3;15;1,7
"2019-02-05 00:00:00";;9,6;28,2;42,9;18;1,5
"2019-02-06 00:00:00";;4,9;27,7;35,3;19;1,7
"2019-02-07 00:00:00";;53,5;49,7;131,8;35;2,4
"2019-02-08 00:00:00";;59,2;56,2;147,0;44;2,0
"2019-02-09 00:00:00";;28,4;49,2;92,7;33;1,7
"2019-02-10 00:00:00";;9,5;33,4;47,9;35;2,9
"2019-02-11 00:00:00";;20,9;37,3;69,3;20;2,9
"2019-02-12 00:00:00";;3,6;21,5;27,1;12;1,3
"2019-02-13 00:00:00";;20,3;42,4;73,5;20;1,8
"2019-02-14 00:00:00";;40,8;38,7;101,3;26;1,9
"2019-02-15 00:00:00";;87,6;56,8;191,1;42;2,2
"2019-02-16 00:00:00";;93,8;65,0;208,9;67;2,5
"2019-02-17 00:00:00";;84,2;61,6;190,7;74;2,4
"2019-02-18 00:00:00";;101,7;73,8;229,8;90;2,8
"2019-02-19 00:00:00";;141,0;87,3;303,6;105;3,6
"2019-02-20 00:00:00";;89,1;70,0;206,6;83;2,9
"2019-02-21 00:00:00";;91,4;68,1;208,3;39;2,5
"2019-02-22 00:00:00";;12,8;27,9;47,5;13;1,9
"2019-02-23 00:00:00";;1,8;19,2;22,0;14;2,9
"2019-02-24 00:00:00";;2,1;25,6;28,8;22;2,8
"2019-02-25 00:00:00";;44,0;62,1;129,5;36;3,1
"2019-02-26 00:00:00";;64,3;55,3;153,9;45;2,8
"2019-02-27 00:00:00";;38,2;43,1;101,6;29;1,9
"2019-02-28 00:00:00";;31,0;45,9;93,5;31;2,2
"2019-03-01 00:00:00";;37,4;52,9;110,2;34;2,3
"2019-03-02 00:00:00";;9,8;30,7;45,7;21;1,6
"2019-03-03 00:00:00";;9,3;35,3;49,5;20;1,6
"2019-03-04 00:00:00";;23,5;49,2;85,3;25;4,4
"2019-03-05 00:00:00";;7,8;34,1;46,0;16;1,7
"2019-03-06 00:00:00";;14,6;51,6;74,0;15;1,6
"2019-03-07 00:00:00";;17,6;46,6;73,6;23;3,7
"2019-03-08 00:00:00";;64,5;60,6;159,5;29;3,7
"2019-03-09 00:00:00";;15,5;40,1;63,9;12;2,6
"2019-03-10 00:00:00";;7,0;27,7;38,3;11;2,6
"2019-03-11 00:00:00";;5,0;26,6;34,3;9;2,3
"2019-03-12 00:00:00";;12,7;39,1;58,6;18;2,4
"2019-03-13 00:00:00";;42,4;55,6;120,7;20;3,1
"2019-03-14 00:00:00";;36,9;55,0;111,6;21;2,9
"2019-03-15 00:00:00";;6,0;26,4;35,6;13;2,9
"2019-03-16 00:00:00";;4,0;22,2;28,3;8;2,2
"2019-03-17 00:00:00";;5,6;25,6;34,2;15;3,0
"2019-03-18 00:00:00";;17,5;41,0;67,8;17;2,9
"2019-03-19 00:00:00";;3,3;23,0;28,1;15;2,5
"2019-03-20 00:00:00";;3,9;26,2;32,2;22;2,5
"2019-03-21 00:00:00";;16,3;51,0;75,9;32;
"2019-03-22 00:00:00";;49,4;55,0;130,7;37;
"2019-03-23 00:00:00";;76,2;42,2;159,1;37;
"2019-03-24 00:00:00";;60,0;67,9;159,9;51;
"2019-03-25 00:00:00";;18,5;41,1;69,4;27;
"2019-03-26 00:00:00";;9,4;35,3;49,6;15;
"2019-03-27 00:00:00";;31,2;42,1;89,9;32;
"2019-03-28 00:00:00";;44,2;56,9;124,7;45;
"2019-03-29 00:00:00";;18,1;46,1;73,8;31;
"2019-03-30 00:00:00";;11,3;34,1;51,5;31;
"2019-03-31 00:00:00";;38,6;64,6;123,8;45;
"2019-04-01 00:00:00";;6,2;21,9;31,4;36;
"2019-04-02 00:00:00";;10,5;47,7;63,8;33;
"2019-04-03 00:00:00";;32,3;64,9;114,4;45;
"2019-04-04 00:00:00";;17,0;58,8;84,8;46;
"2019-04-05 00:00:00";;18,2;52,7;80,6;35;
"2019-04-06 00:00:00";;3,9;28,0;33,9;18;
"2019-04-07 00:00:00";;5,7;25,8;34,5;27;
"2019-04-08 00:00:00";;15,7;45,4;69,5;28;
"2019-04-09 00:00:00";;;;;20;
"2019-04-10 00:00:00";;;;;28;
"2019-04-11 00:00:00";;;;;44;
"2019-04-12 00:00:00";;;;;27;
"2019-04-13 00:00:00";;;;;21;
"2019-04-14 00:00:00";;;;;17;
"2019-04-15 00:00:00";;;;;25;
"2019-04-16 00:00:00";;3,0;24,9;29,5;22;3,1
"2019-04-17 00:00:00";;3,0;22,4;26,9;17;3,8
"2019-04-18 00:00:00";;3,6;35,6;41,2;19;4,8
"2019-04-19 00:00:00";;1,0;20,0;21,6;25;5,4
"2019-04-20 00:00:00";;3,1;33,2;38,0;20;5,7
"2019-04-21 00:00:00";;1,6;25,2;27,6;22;5,7
"2019-04-22 00:00:00";;0,9;17,2;18,6;18;5,4
"2019-04-23 00:00:00";;9,7;47,4;62,3;20;5,0
"2019-04-24 00:00:00";;14,0;49,5;71,0;24;4,8
"2019-04-25 00:00:00";;12,9;56,5;76,3;48;4,5
"2019-04-26 00:00:00";;22,4;62,6;96,9;55;5,0
"2019-04-27 00:00:00";;11,6;37,1;54,9;27;4,9
"2019-04-28 00:00:00";;5,2;21,9;29,9;8;4,0
"2019-04-29 00:00:00";;19,5;44,1;74,1;16;4,0
"2019-04-30 00:00:00";;15,0;39,3;62,3;15;3,7
"2019-05-01 00:00:00";;5,4;22,5;30,8;17;3,4
"2019-05-02 00:00:00";;26,4;59,2;99,7;25;3,5
"2019-05-03 00:00:00";;15,7;57,7;81,9;19;3,5
"2019-05-04 00:00:00";;4,5;33,8;40,7;14;3,2
"2019-05-05 00:00:00";;1,7;17,2;19,9;10;2,9
