StationNumber;StartDate; EndDate;Latitude;Longitude;Elevation;StationName                             ;RegioName             ;EOR
        13704; 19950422;20040317; 47.6783;  16.6022;    232.8;Sopron Kuruc-domb                       ;Győr-Moson-Sopron     ;EOR
        13704; 20050727;20250606; 47.6783;  16.6022;    232.8;Sopron Kuruc-domb                       ;Győr-Moson-Sopron     ;EOR
        13711; 20031107;20250606; 47.7147;  16.6658;    116.8;Fertőrákos                              ;Győr-Moson-Sopron     ;EOR
        14308; 20220401;20220401; 47.6319;  16.7183;    153.0;Fertőboz                                ;Győr-Moson-Sopron     ;EOR
        14707; 20140519;20250606; 47.4806;  16.7292;    198.7;Sopronhorpács                           ;Győr-Moson-Sopron     ;EOR
        14805; 20120901;20250606; 47.3575;  16.7964;    166.0;Gór                                     ;Vas                   ;EOR
        15304; 19950816;20020424; 47.2675;  16.6339;    220.0;Szombathely                             ;Vas                   ;EOR
        15310; 20020227;20250606; 47.1983;  16.6478;    200.1;Szombathely                             ;Vas                   ;EOR
        15404; 20120901;20180525; 47.2469;  16.9292;    153.0;Sárvár                                  ;Vas                   ;EOR
        15405; 20180525;20250606; 47.2428;  16.9083;    153.0;Sárvár                                  ;Vas                   ;EOR
        15811; 20180328;20250606; 47.0511;  16.8119;    227.0;Vasvár                                  ;Vas                   ;EOR
        16204; 19950517;20250606; 46.9103;  16.3094;    310.7;Szentgotthárd Farkasfa                  ;Vas                   ;EOR
        16414; 19990422;20250606; 46.9258;  16.8128;    239.1;Nagykutas                               ;Zala                  ;EOR
        17306; 19970925;20250606; 46.6056;  16.6131;    164.3;Iklódbördőce                            ;Zala                  ;EOR
        17419; 20140527;20250606; 46.6511;  16.8408;    204.4;Söjtör                                  ;Zala                  ;EOR
        17708; 20120901;20250606; 46.4233;  16.7347;    144.0;Letenye                                 ;Zala                  ;EOR
        17809; 19951125;20250606; 46.4561;  16.9706;    138.8;Nagykanizsa                             ;Zala                  ;EOR
        17814; 20120901;20250606; 46.3550;  16.8778;    131.0;Murakeresztúr                           ;Zala                  ;EOR
        23104; 20120901;20250606; 47.9292;  17.1483;    127.0;Hegyeshalom                             ;Győr-Moson-Sopron     ;EOR
        23201; 19961231;20250606; 47.8897;  17.2672;    120.0;Mosonmagyaróvár                         ;Győr-Moson-Sopron     ;EOR
        23300; 20120901;20250606; 47.8361;  17.5153;    112.0;Ásványráró                              ;Győr-Moson-Sopron     ;EOR
        23508; 20120901;20250606; 47.7183;  17.2228;    116.0;Jánossomorja Hanságliget                ;Győr-Moson-Sopron     ;EOR
        23613; 20120901;20250606; 47.7061;  17.3622;    112.0;Győrsövényház                           ;Győr-Moson-Sopron     ;EOR
        23703; 19960103;20250606; 47.7100;  17.6747;    115.7;Győr Likócs                             ;Győr-Moson-Sopron     ;EOR
        23709; 20120901;20250606; 47.7403;  17.5706;    111.0;Győrzámoly                              ;Győr-Moson-Sopron     ;EOR
        23712; 20120901;20250606; 47.6758;  17.5158;    111.0;Ikrény Dózsamajor                       ;Győr-Moson-Sopron     ;EOR
        23714; 20200218;20250606; 47.6931;  17.6275;    124.0;Győr Egyetem                            ;Győr-Moson-Sopron     ;EOR
        24100; 19970925;20140512; 47.5617;  17.0392;    122.8;Kapuvár                                 ;Győr-Moson-Sopron     ;EOR
        24118; 20120901;20250606; 47.5914;  17.1781;    117.0;Rábatamási                              ;Győr-Moson-Sopron     ;EOR
        24119; 20120901;20250606; 47.6350;  17.0714;    116.0;Osli                                    ;Győr-Moson-Sopron     ;EOR
        24120; 20140603;20250606; 47.5767;  17.1819;    118.4;Jobaháza                                ;Győr-Moson-Sopron     ;EOR
        24202; 20120901;20250606; 47.5128;  17.4022;    115.0;Árpás Dombiföld                         ;Győr-Moson-Sopron     ;EOR
        24307; 20120901;20250606; 47.6086;  17.5156;    112.0;Koroncó                                 ;Győr-Moson-Sopron     ;EOR
        24422; 20060930;20141013; 47.6242;  17.8042;    128.1;Pér                                     ;Győr-Moson-Sopron     ;EOR
        24423; 20140627;20250606; 47.6244;  17.8119;    128.1;Pér repülőtér                           ;Győr-Moson-Sopron     ;EOR
        24424; 20140702;20250606; 47.6308;  17.7956;    128.1;Pér repülőtér (észak)                   ;Győr-Moson-Sopron     ;EOR
        24510; 20120901;20250606; 47.3847;  17.0317;    140.0;Nick                                    ;Vas                   ;EOR
        24512; 20120901;20250606; 47.4428;  17.2119;    127.0;Vág                                     ;Győr-Moson-Sopron     ;EOR
        24607; 20110610;20250606; 47.3706;  17.4964;    143.5;Pápa repülőtér (észak)                  ;Veszprém              ;EOR
        24609; 19970101;20020424; 47.3611;  17.4900;    145.0;Pápa                                    ;Veszprém              ;EOR
        24609; 20041025;20121231; 47.3611;  17.4900;    145.0;Pápa                                    ;Veszprém              ;EOR
        24709; 20110905;20250606; 47.3569;  17.5036;    144.4;Pápa repülőtér                          ;Veszprém              ;EOR
        25212; 20020605;20121011; 47.2922;  17.3722;    134.5;Pápa Nyárád                             ;Veszprém              ;EOR
        25503; 19980811;20250606; 47.1606;  17.0397;    169.2;Káld                                    ;Vas                   ;EOR
        25507; 20120901;20250606; 47.1197;  17.2036;    126.0;Karakó                                  ;Vas                   ;EOR
        25615; 20120901;20250606; 47.1114;  17.4328;    168.0;Devecser                                ;Veszprém              ;EOR
        25713; 19991013;20250606; 47.0469;  17.6569;    593.7;Kab-hegy                                ;Veszprém              ;EOR
        25811; 19960822;20041004; 47.0781;  17.9700;    280.0;Szentkirályszabadja                     ;Veszprém              ;EOR
        25820; 20050325;20250606; 47.0828;  17.9706;    280.5;Szentkirályszabadja repülőtér           ;Veszprém              ;EOR
        26118; 20120901;20250606; 46.8333;  17.1400;    259.0;Nemesbük                                ;Zala                  ;EOR
        26212; 19971217;20250606; 46.9642;  17.2917;    193.8;Sümeg                                   ;Veszprém              ;EOR
        26328; 20120901;20250606; 46.8803;  17.7367;    105.0;Balatonakali                            ;Veszprém              ;EOR
        26422; 20240716;20250606; 46.8800;  17.8983;    105.0;Szántód kikötő                          ;Somogy                ;EOR
        26505; 19951101;20001214; 46.7356;  17.2386;    110.7;Keszthely Tanyakereszt                  ;Zala                  ;EOR
        26505; 20010425;20250606; 46.7356;  17.2386;    110.7;Keszthely Tanyakereszt                  ;Zala                  ;EOR
        26513; 20001213;20190502; 46.6867;  17.1608;    118.9;Sármellék                               ;Zala                  ;EOR
        26514; 20161213;20250606; 46.6942;  17.1575;    122.0;Sármellék repülőtér                     ;Zala                  ;EOR
        26515; 20161213;20250606; 46.6789;  17.1633;    122.0;Sármellék repülőtér (dél)               ;Zala                  ;EOR
        26617; 20120901;20250606; 46.8136;  17.3786;    122.0;Balatonederics                          ;Veszprém              ;EOR
        26710; 19970924;20250606; 46.7492;  17.5525;    105.6;Fonyód                                  ;Somogy                ;EOR
        26720; 20120901;20250606; 46.7950;  17.7275;    106.0;Balatonlelle felső                      ;Somogy                ;EOR
        26830; 20240716;20250606; 46.8153;  17.7675;    105.0;Balatonszemes kikötő                    ;Somogy                ;EOR
