#datum;d_ta;d_tx;d_tn;d_rs;d_rf;d_ss;d_ssr
1901-01-01;-11.7;-9.0;-13.6;2.2;4;;
1901-01-02;-11.1;-10.0;-15.2;3.0;4;;
1901-01-03;-13.0;-10.0;-15.7;0.0;;;
1901-01-04;-17.4;-12.0;-20.7;0.0;;;
1901-01-05;-14.8;-12.6;-23.5;0.0;;;
1901-01-06;-9.9;-8.0;-17.0;6.4;4;;
1901-01-07;-11.5;-6.4;-15.0;0.0;;;
1901-01-08;-16.0;-11.6;-21.0;0.0;;;
1901-01-09;-18.6;-11.0;-22.0;0.0;;;
1901-01-10;-18.4;-12.0;-24.5;0.0;;;
1901-01-11;-16.4;-10.0;-23.0;0.0;;;
1901-01-12;-8.0;-5.6;-19.6;7.4;4;;
1901-01-13;-6.2;-2.4;-14.0;0.0;;;
1901-01-14;-4.1;-1.5;-6.2;0.0;;;
1901-01-15;-2.7;0.0;-5.5;0.0;;;
1901-01-16;-8.9;-4.6;-13.6;0.0;;;
1901-01-17;-10.5;-8.0;-12.4;0.0;;;
1901-01-18;-12.5;-7.0;-16.6;0.0;;;
1901-01-19;-11.0;-6.0;-17.0;0.0;;;
1901-01-20;-6.1;-4.0;-13.3;0.0;;;
1901-01-21;-2.7;0.0;-10.0;2.3;4;;
1901-01-22;0.5;5.0;-4.0;0.0;;;
1901-01-23;0.3;4.5;-1.5;0.0;;;
1901-01-24;-0.9;0.5;-4.0;0.0;;;
1901-01-25;-3.0;-0.2;-7.5;0.0;;;
1901-01-26;-2.5;-2.0;-3.5;0.0;;;
1901-01-27;0.4;1.8;-3.2;3.1;4;;
1901-01-28;1.8;3.5;-0.8;7.5;4;;
1901-01-29;0.4;1.6;-3.0;3.2;8;;
1901-01-30;-0.9;1.0;-2.5;1.6;4;;
1901-01-31;-0.8;1.2;-2.6;2.4;4;;
1901-02-01;-1.4;0.0;-2.2;7.9;1;;
1901-02-02;2.2;4.6;-4.0;0.0;;;
1901-02-03;1.8;6.0;1.0;0.0;;;
1901-02-04;0.8;5.0;-4.0;5.0;1;;
1901-02-05;2.0;6.0;-1.2;0.0;;;
1901-02-06;2.9;9.0;0.2;0.0;1;;
1901-02-07;-0.3;5.5;-2.0;0.0;;;
1901-02-08;0.9;3.2;-2.4;15.3;1;;
1901-02-09;0.1;3.0;-1.2;3.6;4;;
1901-02-10;-0.7;2.4;-2.5;0.0;4;;
1901-02-11;-3.4;-0.6;-8.0;3.7;4;;
1901-02-12;-8.0;-2.6;-9.8;0.0;;;
1901-02-13;-7.9;-4.6;-14.0;0.0;;;
1901-02-14;-8.7;-5.2;-11.0;0.0;;;
1901-02-15;-10.8;-6.2;-13.0;0.0;;;
1901-02-16;-11.2;-5.6;-17.4;0.0;;;
1901-02-17;-9.1;-5.0;-16.8;0.0;;;
1901-02-18;-8.6;-3.0;-17.0;0.0;;;
1901-02-19;-5.0;-1.0;-10.1;1.2;4;;
1901-02-20;-4.2;-0.8;-7.0;4.1;4;;
1901-02-21;-10.4;-2.2;-14.6;1.3;4;;
1901-02-22;-9.7;-1.0;-18.2;0.0;;;
1901-02-23;-11.0;-3.4;-16.4;0.0;;;
1901-02-24;-6.4;1.5;-18.6;0.0;;;
1901-02-25;-4.7;0.2;-9.0;0.0;;;
1901-02-26;-3.7;2.4;-12.2;0.0;;;
1901-02-27;-3.7;4.5;-11.2;0.0;;;
1901-02-28;-2.5;4.8;-9.3;0.0;;;
1901-03-01;-0.3;4.0;-4.8;2.1;1;;
1901-03-02;3.9;8.7;-2.4;0.0;1;;
1901-03-03;6.4;11.7;0.0;0.0;1;;
1901-03-04;4.3;6.8;2.2;13.2;1;;
1901-03-05;1.5;3.6;0.2;7.2;4;;
1901-03-06;1.6;3.0;0.0;1.2;1;;
1901-03-07;2.9;7.0;0.2;3.8;1;;
