#datum;d_ta;d_tx;d_tn;d_rs;d_rf;d_ss;d_ssr
1901-01-01;-4.1;4.3;-7.8;4.6;4;;
1901-01-02;-10.2;-7.5;-12.9;0.5;4;;
1901-01-03;-9.8;-7.0;-11.1;0.4;4;;
1901-01-04;-12.5;-9.2;-13.4;0.0;;;
1901-01-05;-11.7;-9.8;-13.5;2.0;4;;
1901-01-06;-9.0;-7.2;-11.4;4.2;4;;
1901-01-07;-8.6;-4.9;-10.7;0.0;;;
1901-01-08;-8.4;-5.6;-10.2;0.0;;;
1901-01-09;-13.7;-8.7;-16.4;0.0;;;
1901-01-10;-11.4;-7.2;-16.8;0.0;;;
1901-01-11;-10.5;-8.0;-13.0;0.7;4;;
1901-01-12;-5.8;-3.8;-9.8;0.0;;;
1901-01-13;-3.9;-2.0;-6.4;0.0;4;;
1901-01-14;-5.6;-0.8;-8.4;0.0;;;
1901-01-15;-7.3;-2.0;-13.0;0.0;;;
1901-01-16;-4.9;-0.6;-7.4;0.0;;;
1901-01-17;-7.3;-3.0;-10.8;0.0;;;
1901-01-18;-7.4;-3.0;-10.0;0.0;;;
1901-01-19;-3.1;0.1;-9.4;0.0;;;
1901-01-20;-2.3;2.0;-4.8;0.0;;;
1901-01-21;1.9;6.2;-5.2;6.2;1;;
1901-01-22;3.8;7.1;2.4;0.0;;;
1901-01-23;4.5;9.0;-1.1;0.0;;;
1901-01-24;2.2;5.8;-1.6;0.0;;;
1901-01-25;2.5;5.1;-0.2;0.5;1;;
1901-01-26;4.0;7.7;1.8;4.0;1;;
1901-01-27;1.8;4.2;-0.5;0.0;;;
1901-01-28;5.6;7.2;0.1;3.4;1;;
1901-01-29;1.2;5.2;-0.1;34.6;4;;
1901-01-30;-0.1;1.6;-1.0;4.4;4;;
1901-01-31;-0.9;1.8;-4.1;4.5;4;;
1901-02-01;-2.2;0.2;-3.2;0.0;;;
1901-02-02;3.0;7.3;-4.0;4.0;4;;
1901-02-03;3.6;6.1;-0.1;0.1;1;;
1901-02-04;1.9;5.8;-2.0;0.0;;;
1901-02-05;5.4;7.1;-0.1;1.1;1;;
1901-02-06;4.8;9.1;-0.7;0.8;1;;
1901-02-07;4.6;7.0;0.0;1.0;1;;
1901-02-08;3.2;6.1;1.9;6.4;4;;
1901-02-09;0.8;3.0;-0.1;0.4;4;;
1901-02-10;1.6;5.0;-2.1;0.0;;;
1901-02-11;0.2;3.5;-1.0;0.0;4;;
1901-02-12;-3.9;0.2;-5.2;0.0;;;
1901-02-13;-4.5;-2.0;-6.9;0.0;;;
1901-02-14;-7.0;-2.5;-8.7;0.0;;;
1901-02-15;-8.0;-3.8;-10.8;0.0;;;
1901-02-16;-8.7;-4.0;-11.9;0.0;;;
1901-02-17;-10.2;-2.8;-12.7;0.1;4;;
1901-02-18;-5.9;-1.8;-12.2;0.0;;;
1901-02-19;-5.3;-2.4;-8.1;0.8;4;;
1901-02-20;-5.2;-2.0;-6.2;0.3;4;;
1901-02-21;-5.0;-2.6;-9.7;0.0;;;
1901-02-22;-5.4;-1.0;-7.0;0.0;;;
1901-02-23;-4.0;1.3;-10.3;0.0;;;
1901-02-24;0.7;5.0;-7.0;0.0;;;
1901-02-25;0.1;5.0;-3.8;0.0;;;
1901-02-26;-0.1;4.5;-4.0;0.0;;;
1901-02-27;0.0;4.9;-4.1;0.0;;;
1901-02-28;2.8;8.8;-3.0;0.0;;;
1901-03-01;4.1;9.1;-1.9;0.0;;;
1901-03-02;6.9;13.0;2.0;0.0;;;
1901-03-03;7.1;11.8;2.1;20.0;1;;
1901-03-04;4.8;7.8;3.2;12.0;1;;
1901-03-05;4.3;5.1;3.4;7.1;1;;
1901-03-06;4.0;9.4;1.6;0.7;1;;
1901-03-07;6.2;7.0;0.9;3.6;1;;
1901-03-08;7.9;11.7;2.0;6.2;1;;
1901-03-09;5.8;9.0;5.0;6.5;1;;
1901-03-10;6.7;9.1;3.9;0.0;;;
1901-03-11;11.1;15.3;6.8;3.3;1;;
1901-03-12;9.1;13.7;4.4;0.0;;;
1901-03-13;10.5;11.7;6.5;3.1;1;;
1901-03-14;8.9;14.2;4.5;0.0;;;
1901-03-15;9.8;16.0;3.0;0.0;;;
1901-03-16;11.6;17.3;6.8;0.0;;;
1901-03-17;10.7;16.0;4.0;0.0;;;
1901-03-18;12.4;17.5;4.9;0.0;;;
1901-03-19;13.9;19.2;9.2;0.0;;;
1901-03-20;13.7;16.1;11.1;1.2;1;;
1901-03-21;10.3;17.6;7.5;2.7;1;;
1901-03-22;2.4;8.0;0.8;0.0;;;
1901-03-23;1.1;3.2;-1.0;0.0;;;
1901-03-24;2.8;5.9;-0.5;1.7;4;;
1901-03-25;2.0;6.0;-0.1;0.0;;;
1901-03-26;5.5;9.6;-1.1;4.7;1;;
1901-03-27;2.5;6.8;0.0;0.4;1;;
1901-03-28;2.6;7.1;-0.5;2.8;4;;
1901-03-29;2.0;5.1;-1.1;1.2;4;;
1901-03-30;2.1;7.5;-2.8;0.0;;;
1901-03-31;8.2;13.8;0.2;0.0;;;
1901-04-01;11.4;18.8;4.3;0.0;;;
1901-04-02;13.1;18.1;6.2;0.0;;;
1901-04-03;13.8;18.5;6.0;0.0;;;
1901-04-04;16.1;23.0;9.0;0.0;;;
1901-04-05;10.6;16.1;9.6;7.6;1;;
1901-04-06;8.4;12.9;6.2;0.0;;;
1901-04-07;11.9;16.0;3.0;0.5;1;;
1901-04-08;14.0;20.1;6.6;0.0;;;
1901-04-09;17.2;23.7;10.0;0.0;;;
1901-04-10;18.9;26.8;11.4;13.2;7;;
1901-04-11;10.7;17.8;6.0;0.0;;;
1901-04-12;13.4;18.2;7.9;9.2;1;;
1901-04-13;9.0;13.3;5.9;3.3;1;;
1901-04-14;7.5;12.1;5.0;0.0;;;
1901-04-15;11.2;16.0;4.0;0.0;;;
1901-04-16;10.9;19.1;6.5;7.6;7;;
1901-04-17;8.6;15.1;5.1;2.5;1;;
1901-04-18;7.3;9.2;5.0;2.3;1;;
1901-04-19;7.1;10.6;4.0;0.0;;;
1901-04-20;8.4;13.0;4.5;0.9;1;;
1901-04-21;9.2;12.2;5.8;0.0;;;
1901-04-22;7.0;12.1;3.1;0.0;;;
1901-04-23;8.5;13.3;4.2;0.0;;;
1901-04-24;9.6;12.0;5.1;0.0;;;
1901-04-25;12.3;16.0;7.9;0.4;1;;
1901-04-26;12.8;17.0;7.9;0.2;1;;
1901-04-27;14.1;21.0;10.0;0.0;;;
1901-04-28;14.7;22.4;9.0;0.7;1;;
1901-04-29;14.7;21.0;7.6;0.0;;;
1901-04-30;13.0;20.0;8.2;8.1;1;;
1901-05-01;11.3;14.1;7.8;0.0;;;
1901-05-02;11.9;15.1;8.8;0.0;;;
1901-05-03;11.8;17.9;9.7;0.0;1;;
1901-05-04;13.6;17.3;8.7;0.6;1;;
1901-05-05;11.8;16.1;10.2;0.0;;;
1901-05-06;16.1;22.0;5.9;0.0;;;
1901-05-07;15.4;22.1;9.4;3.2;1;;
1901-05-08;15.1;20.4;11.0;0.0;;;
1901-05-09;17.6;23.9;8.9;0.0;;;
1901-05-10;18.5;23.9;12.0;0.0;;;
1901-05-11;17.6;24.0;14.0;0.2;1;;
1901-05-12;16.8;22.0;14.0;0.0;;;
1901-05-13;14.9;20.0;11.5;0.0;;;
1901-05-14;15.2;22.8;9.9;0.0;;;
1901-05-15;14.0;21.0;7.9;3.2;7;;
1901-05-16;14.8;22.0;7.1;0.0;1;;
