#datum;d_ta;d_tx;d_tn;d_rs;d_rf;d_ss;d_ssr
1901-01-01;-6.3;-1.3;-8.6;3.5;4;;
1901-01-02;-11.0;-8.5;-13.2;0.4;4;;
1901-01-03;-12.2;-9.3;-13.8;0.4;4;;
1901-01-04;-13.6;-11.8;-14.8;0.3;4;;
1901-01-05;-13.6;-12.4;-16.3;0.6;4;;
1901-01-06;-11.1;-10.1;-13.8;4.0;4;;
1901-01-07;-9.1;-7.0;-10.4;0.0;;;
1901-01-08;-15.3;-9.0;-16.8;0.0;;;
1901-01-09;-18.2;-14.0;-20.0;0.0;;;
1901-01-10;-17.9;-16.0;-20.0;0.0;;;
1901-01-11;-13.8;-11.3;-18.6;0.0;;;
1901-01-12;-6.7;-5.6;-13.8;1.2;4;;
1901-01-13;-6.2;-4.5;-7.8;0.0;;;
1901-01-14;-7.7;-5.0;-9.1;0.0;;;
1901-01-15;-5.6;-3.3;-8.3;0.0;;;
1901-01-16;-8.7;-3.7;-11.1;0.0;;;
1901-01-17;-9.1;-3.9;-13.2;0.0;;;
1901-01-18;-9.6;-4.4;-13.9;0.0;;;
1901-01-19;-9.5;-6.7;-15.0;0.0;;;
1901-01-20;-6.9;-3.5;-10.6;0.0;;;
1901-01-21;0.4;3.4;-7.1;0.0;;;
1901-01-22;1.7;3.6;0.5;0.0;;;
1901-01-23;2.7;6.1;-1.6;0.0;;;
1901-01-24;-3.0;3.8;-5.3;0.0;;;
1901-01-25;-1.7;-0.6;-6.5;0.0;;;
1901-01-26;-1.3;-0.2;-4.1;2.8;4;;
1901-01-27;1.5;3.2;-1.1;0.0;;;
1901-01-28;1.6;5.2;0.5;4.6;1;;
1901-01-29;0.5;3.1;-1.8;11.9;4;;
1901-01-30;-0.9;0.1;-2.9;2.6;4;;
1901-01-31;-0.8;1.5;-1.4;0.0;;;
1901-02-01;-1.8;1.0;-2.7;0.0;;;
1901-02-02;3.4;6.0;-2.7;7.8;1;;
1901-02-03;2.0;6.1;0.0;0.0;;;
1901-02-04;2.1;6.4;-1.2;0.0;;;
1901-02-05;4.5;7.9;-1.7;0.0;;;
1901-02-06;6.2;11.2;3.7;0.0;;;
1901-02-07;3.9;8.2;1.9;0.0;;;
1901-02-08;2.8;5.0;0.5;20.5;4;;
1901-02-09;-0.8;2.7;-2.4;4.6;4;;
1901-02-10;-0.4;2.9;-5.6;0.0;;;
1901-02-11;-2.4;0.9;-6.2;1.5;4;;
1901-02-12;-5.9;-2.0;-7.6;0.0;;;
1901-02-13;-6.1;-4.4;-7.6;0.0;;;
1901-02-14;-7.6;-4.4;-12.5;0.0;;;
1901-02-15;-10.2;-7.0;-11.6;0.0;;;
1901-02-16;-10.8;-7.2;-14.2;0.0;;;
1901-02-17;-8.0;-5.3;-10.8;0.0;;;
1901-02-18;-8.4;-4.8;-12.2;0.0;;;
1901-02-19;-5.2;-3.2;-11.2;3.6;4;;
1901-02-20;-6.3;-1.7;-8.9;1.2;4;;
1901-02-21;-8.0;-3.7;-11.2;0.8;4;;
1901-02-22;-8.7;-5.0;-16.2;0.0;4;;
1901-02-23;-11.4;-4.6;-19.8;0.0;;;
1901-02-24;-3.5;1.6;-12.4;0.0;;;
1901-02-25;-2.9;2.2;-8.9;0.0;;;
1901-02-26;-4.3;0.8;-9.8;0.0;;;
1901-02-27;-3.1;0.8;-7.0;0.0;;;
1901-02-28;-2.5;1.8;-8.0;0.0;;;
1901-03-01;0.2;3.0;-4.8;0.0;;;
1901-03-02;4.1;8.0;0.9;0.0;;;
1901-03-03;6.1;10.7;1.8;13.5;1;;
1901-03-04;3.8;5.9;3.1;8.5;1;;
1901-03-05;2.6;3.6;2.0;6.6;1;;
1901-03-06;3.1;6.9;1.0;0.0;1;;
1901-03-07;4.4;7.9;-1.3;2.0;1;;
1901-03-08;7.6;11.8;3.6;3.7;1;;
1901-03-09;6.6;9.8;5.1;2.8;1;;
1901-03-10;6.8;10.4;4.1;0.0;;;
1901-03-11;8.6;11.0;5.2;3.4;1;;
1901-03-12;11.7;15.8;6.5;0.0;;;
1901-03-13;11.8;14.4;7.0;0.5;1;;
1901-03-14;10.2;13.7;8.0;0.0;;;
1901-03-15;10.1;15.2;3.6;0.0;;;
1901-03-16;10.4;16.2;4.5;0.0;;;
1901-03-17;10.4;16.1;4.6;0.0;;;
1901-03-18;12.8;18.1;4.7;0.0;;;
1901-03-19;14.4;19.5;9.7;0.0;;;
1901-03-20;15.2;18.8;9.2;1.1;1;;
1901-03-21;12.1;16.2;10.4;1.3;7;;
1901-03-22;2.6;10.8;0.2;0.0;;;
1901-03-23;1.4;2.8;-1.2;0.0;;;
1901-03-24;2.8;5.5;-2.0;0.0;;;
1901-03-25;2.7;5.0;-0.6;0.4;4;;
1901-03-26;4.5;6.4;-0.2;1.5;4;;
1901-03-27;4.0;9.3;2.1;2.2;4;;
1901-03-28;2.5;4.8;-0.8;0.0;4;;
1901-03-29;2.3;5.8;0.7;0.0;;;
1901-03-30;2.8;7.0;-1.5;0.0;;;
1901-03-31;6.6;11.3;-1.3;0.0;;;
1901-04-01;10.3;15.5;3.2;0.0;;;
1901-04-02;12.7;16.8;6.0;0.0;;;
1901-04-03;12.8;18.6;5.4;0.0;;;
1901-04-04;15.3;21.4;5.6;0.0;;;
1901-04-05;9.4;15.9;7.3;1.0;1;;
1901-04-06;8.4;12.8;6.5;0.0;;;
1901-04-07;10.7;16.2;2.7;2.3;1;;
1901-04-08;13.3;16.2;8.8;0.0;;;
1901-04-09;15.1;20.0;9.7;0.0;;;
1901-04-10;18.5;25.0;9.8;6.6;1;;
1901-04-11;11.1;18.2;8.3;0.0;10;;
1901-04-12;13.7;19.0;6.8;9.6;1;;
1901-04-13;9.9;15.5;6.4;1.8;1;;
1901-04-14;7.3;11.8;4.2;0.0;;;
1901-04-15;10.1;14.2;5.0;0.0;1;;
1901-04-16;10.9;19.1;7.1;17.0;1;;
1901-04-17;9.4;12.8;5.9;0.0;;;
1901-04-18;8.3;11.5;5.0;3.9;1;;
1901-04-19;4.6;8.2;1.7;9.7;4;;
1901-04-20;6.9;12.2;3.0;0.6;1;;
1901-04-21;6.8;11.0;3.7;8.0;6;;
1901-04-22;7.3;11.1;4.0;0.0;1;;
1901-04-23;6.3;10.0;3.8;0.0;;;
1901-04-24;8.7;10.3;4.8;0.0;;;
1901-04-25;11.6;15.2;7.5;0.0;;;
1901-04-26;11.5;15.5;3.4;0.0;;;
1901-04-27;14.8;19.5;8.5;0.0;;;
1901-04-28;16.6;22.7;8.4;1.8;1;;
1901-04-29;16.2;20.5;10.2;7.9;1;;
1901-04-30;14.1;18.9;11.0;4.3;1;;
1901-05-01;13.5;17.5;9.8;0.0;;;
1901-05-02;12.5;16.8;8.3;3.5;1;;
1901-05-03;11.7;14.9;8.6;0.0;;;
1901-05-04;13.0;15.8;8.4;0.0;;;
1901-05-05;11.9;16.1;8.5;0.0;;;
1901-05-06;13.4;18.6;4.4;0.0;;;
1901-05-07;17.3;21.3;8.8;3.5;1;;
1901-05-08;13.8;17.7;11.7;0.0;1;;
1901-05-09;16.6;22.0;8.1;0.0;;;
1901-05-10;17.1;20.3;11.0;0.0;;;
1901-05-11;17.2;23.0;10.1;0.0;;;
1901-05-12;16.8;21.5;13.0;0.0;;;
1901-05-13;15.2;19.4;9.4;0.0;;;
1901-05-14;16.2;21.0;10.3;0.0;;;
1901-05-15;15.3;19.9;10.3;0.1;1;;
1901-05-16;16.1;20.9;9.5;0.0;;;
1901-05-17;16.9;23.9;10.0;0.0;10;;
1901-05-18;17.2;23.5;12.0;0.0;7;;
1901-05-19;17.5;21.5;12.0;0.0;;;
1901-05-20;18.1;23.0;12.4;0.0;;;
1901-05-21;16.2;21.2;12.2;0.0;;;
